Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
EQUINOR ASA,  -   ," $ 97,317,096,800 ", $ 351.80 ,"  11,500,000 ","  254,550,000 ",0.00%,  -   ,  -   
EQUITRANS MIDSTREAM CORP,"  990,560 "," $ 10,999,079,700 ", $ 6.70 ,"  2,356,195 ","  2,356,195 ",0.06%,"  1,421.71 ","  1,421.71 "
EXXON MOBIL CORP,"  109,639 "," $ 474,820,600,000 ", $ 110.30 ,"  105,000,000 ","  825,000,000 ",0.00%,"  2,674.24 ","  21,011.88 "
FIRSTENERGY CORP,"  47,258 "," $ 46,215,171,300 ", $ 41.94 ,"  17,410,250 ","  49,240,650 ",0.00%,  746.66 ,"  2,111.75 "
FORTIS INC,"  720,217 "," $ 43,128,768,173 ", $ 40.02 ,"  8,927,000 ","  116,697,000 ",0.07%,"  5,965.24 ","  77,979.77 "
FRANCO-NEVADA CORP,"  772,026 "," $ 18,449,735,339 ", $ 136.32 ,  50 ,  134 ,0.57%,  0.29 ,  0.76 
FREEHOLD ROYALTIES LTD,"  175,612 "," $ 1,878,026,458 ", $ 11.69 ,  -   ,  -   ,0.11%,  -   ,  -   
GALP ENERGIA SGPS SA,"  331,405 "," $ 15,059,101,521 ", $ 13.53 ,"  3,498,017 ","  50,343,318 ",0.03%,"  1,041.81 ","  14,993.75 "
GLENCORE PLC,"  3,769,411 "," $ 107,969,709,600 ", $ 552.40 ,"  27,037,000 ","  369,137,000 ",1.93%,"  521,415.25 ","  7,118,898.63 "
HALLIBURTON CO,"  110,763 "," $ 42,260,700,000 ", $ 39.35 ,"  3,727,034 ","  3,904,376 ",0.01%,  384.38 ,  402.67 
HESS CORP,"  64,048 "," $ 50,727,002,900 ", $ 141.82 ,"  2,666,933 ","  50,912,535 ",0.02%,  477.55 ,"  9,116.51 "
IMPERIAL OIL LTD,"  247,822 "," $ 28,938,255,338 ", $ 48.71 ,"  14,930,000 ","  14,930,000 ",0.04%,"  6,227.72 ","  6,227.72 "
INFRAESTRUCTURA ENERGETICA N,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
INTER PIPELINE LTD,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
ITOCHU CORP,  -   ," $ 75,878,056,062 ", $ 31.63 ,"  2,263,692 ","  4,731,172 ",0.00%,  -   ,  -   
KEYERA CORP,"  312,158 "," $ 7,891,236,074 ", $ 21.85 ,"  1,733,232 ","  1,735,962 ",0.09%,"  1,498.37 ","  1,500.73 "
KINDER MORGAN INC,"  776,542 "," $ 73,340,083,800 ", $ 18.08 ,"  18,000,000 ","  18,000,000 ",0.02%,"  3,445.84 ","  3,445.84 "
MARATHON OIL CORP,  -   ," $ 22,880,310,000 ", $ 27.07 ,"  3,360,000 ","  45,410,000 ",0.00%,  -   ,  -   
MARATHON PETROLEUM CORP,"  16,323 "," $ 76,352,060,000 ", $ 116.39 ,"  40,400,000 ","  506,400,000 ",0.00%,"  1,005.26 ","  12,600.52 "
MEG ENERGY CORP,"  383,008 "," $ 5,258,470,523 ", $ 13.92 ,"  2,368,463 ","  2,384,503 ",0.10%,"  2,401.67 ","  2,417.93 "
NRG ENERGY INC,"  23,319 "," $ 15,176,632,000 ", $ 31.82 ,"  37,559,433 ","  37,561,865 ",0.00%,"  1,836.34 ","  1,836.46 "
NUVISTA ENERGY LTD,"  243,052 "," $ 2,236,125,334 ", $ 9.22 ,"  384,381 ","  755,312 ",0.10%,  385.09 ,  756.71 
OBSIDIAN ENERGY LTD,  -   ," $ 717,018,885 ", $ 6.63 ,"  395,426 ","  395,426 ",0.00%,  -   ,  -   
OCCIDENTAL PETROLEUM CORP,"  25,936 "," $ 86,606,114,900 ", $ 62.99 ,"  22,500,000 ","  239,500,000 ",0.00%,  424.43 ,"  4,517.85 "
OGE ENERGY CORP,"  274,297 "," $ 12,413,210,000 ", $ 39.55 ,"  10,125,700 ","  18,749,700 ",0.09%,"  8,849.29 ","  16,386.18 "
ONEOK INC,"  164,356 "," $ 42,881,524,600 ", $ 65.70 ,"  6,600,000 ","  70,900,000 ",0.03%,"  1,661.98 ","  17,853.65 "
OVINTIV INC,  -   ," $ 16,947,447,000 ", $ 50.71 ,"  3,738,714 ","  3,738,714 ",0.00%,  -   ,  -   
PAMPA ENERGIA SA-SPON ADR,  -   ," $ 762,848,269,900 ", $ 31.94 ,"  7,809,890 ","  7,809,890 ",0.00%,  -   ,  -   
PARAMOUNT RESOURCES LTD -A,"  109,844 "," $ 3,132,817,520 ", $ 21.15 ,"  560,451 ","  560,451 ",0.07%,  415.66 ,  415.66 
PARKLAND CORP,"  248,028 "," $ 8,516,333,237 ", $ 21.94 ,"  616,420 ","  616,420 ",0.06%,  393.93 ,  393.93 
PEYTO EXPLORATION & DEV CORP,"  243,106 "," $ 2,406,710,113 ", $ 10.24 ,"  713,781 ","  713,781 ",0.10%,  738.58 ,  738.58 
PEMBINA PIPELINE CORP,"  791,759 "," $ 28,162,846,184 ", $ 33.94 ,"  4,139,710 ","  5,873,170 ",0.10%,"  3,950.51 ","  5,604.75 "
PETROBRAS - PETROLEO BRAS-PR,"  22,457 "," $ 101,761,754,548 ", $ 4.64 ,"  47,902,355 ","  491,186,355 ",0.00%,  49.01 ,  502.58 
P G & E CORP,"  70,143 "," $ 85,165,383,300 ", $ 16.26 ,"  4,049,399 ","  45,554,598 ",0.00%,  54.23 ,  610.06 
PHILLIPS 66,"  107,202 "," $ 65,181,041,200 ", $ 104.08 ,"  31,200,000 ","  385,200,000 ",0.02%,"  5,340.77 ","  65,937.91 "
PIONEER NATURAL RESOURCES CO,"  118,408 "," $ 58,662,262,000 ", $ 228.39 ,"  3,350,144 ","  165,350,144 ",0.05%,"  1,544.41 ","  76,226.14 "
PLAINS ALL AMER PIPELINE LP,"  232,895 "," $ 18,928,648,900 ", $ 11.76 ,"  1,984,000 ","  1,984,000 ",0.01%,  287.07 ,  287.07 
PUBLIC SERVICE ENTERPRISE GP,"  39,094 "," $ 50,425,190,000 ", $ 61.27 ,"  2,868,611 ","  2,868,611 ",0.00%,  136.26 ,  136.26 
RWE AG,"  244,746 "," $ 33,269,047,737 ", $ 44.64 ,"  85,500,000 ","  107,600,000 ",0.03%,"  28,075.24 ","  35,332.11 "
SASOL LTD,  -   ," $ 18,610,776,214 "," $ 2,185.74 ","  63,571,398 ","  101,128,398 ",0.00%,  -   ,  -   
SCHLUMBERGER LTD,"  30,850 "," $ 86,248,200,000 ", $ 53.46 ,"  1,884,000 ","  36,733,000 ",0.00%,  36.03 ,  702.41 
SECURE ENERGY SERVICES INC,"  440,548 "," $ 2,358,931,282 ", $ 5.19 ,"  238,196 ","  238,196 ",0.10%,  230.97 ,  230.97 
SEMPRA,"  176,106 "," $ 80,593,561,000 ", $ 77.27 ,"  7,428,409 ","  74,077,706 ",0.02%,"  1,254.24 ","  12,507.55 "
SHELL PLC,"  9,579,553 "," $ 241,953,060,700 "," $ 2,326.00 ","  59,000,000 ","  1,262,750,000 ",9.21%,"  5,433,452.14 ","  116,289,689.74 "
SOUTHERN CO/THE,"  297,387 "," $ 139,821,590,000 ", $ 71.41 ,"  85,111,461 ","  123,629,262 ",0.02%,"  12,926.91 ","  18,777.08 "
SOUTHWESTERN ENERGY CO,  -   ," $ 10,951,595,700 ", $ 5.85 ,"  1,287,610 ","  1,287,610 ",0.00%,  -   ,  -   
SUNCOR ENERGY INC,"  2,874,711 "," $ 52,499,482,930 ", $ 31.72 ,"  34,875,881 ","  177,875,881 ",0.17%,"  60,577.94 ","  308,962.92 "
TAMARACK VALLEY ENERGY LTD,"  616,136 "," $ 2,723,648,190 ", $ 3.29 ,"  534,280 ","  534,280 ",0.07%,  398.12 ,  398.12 
TARGA RESOURCES CORP,  -   ," $ 30,291,003,800 ", $ 73.50 ,"  11,700,000 ","  44,300,000 ",0.00%,  -   ,  -   
TC ENERGY CORP,"  1,497,150 "," $ 85,443,971,898 ", $ 39.87 ,"  23,246,029 ","  26,764,869 ",0.07%,"  16,238.75 ","  18,696.87 "
TECK RESOURCES LTD-CLS B,"  858,284 "," $ 24,523,739,981 ", $ 37.83 ,"  2,932,000 ","  72,355,000 ",0.13%,"  3,881.81 ","  95,794.24 "
TOTALENERGIES SE,"  758,485 "," $ 173,138,722,900 ", $ 58.65 ,"  39,360,000 ","  488,360,000 ",0.03%,"  10,112.90 ","  125,476.06 "
TOURMALINE OIL CORP,"  472,454 "," $ 17,554,291,766 ", $ 50.46 ,"  3,012,770 ","  3,012,770 ",0.14%,"  4,091.45 ","  4,091.45 "
TRANSALTA CORP,"  336,526 "," $ 5,629,179,237 ", $ 8.94 ,"  10,247,622 ","  13,871,592 ",0.05%,"  5,479.33 ","  7,417.05 "
VALERO ENERGY CORP,"  78,525 "," $ 56,975,238,600 ", $ 126.86 ,"  32,328,000 ","  32,328,000 ",0.02%,"  5,652.30 ","  5,652.30 "
VERMILION ENERGY INC,"  232,342 "," $ 3,716,128,766 ", $ 17.70 ,"  824,207 ","  12,506,707 ",0.11%,  912.28 ,"  13,843.15 "
VISTA ENERGY SAB DE CV,  -   ," $ 89,076,178 ", $ 15.86 ,  -   ,  -   ,0.00%,  -   ,  -   
VISTRA CORP,"  30,276 "," $ 23,207,313,000 ", $ 23.20 ,"  95,005,240 ","  97,366,670 ",0.00%,"  2,875.47 ","  2,946.94 "
WEC ENERGY GROUP INC,"  76,827 "," $ 47,109,841,600 ", $ 93.76 ,"  19,102,000 ","  19,102,000 ",0.02%,"  2,920.78 ","  2,920.78 "
WHITECAP RESOURCES INC,"  859,214 "," $ 6,212,073,047 ", $ 7.93 ,"  2,057,232 ","  2,057,232 ",0.11%,"  2,257.04 ","  2,257.04 "
WILLIAMS COS INC,"  241,245 "," $ 65,242,200,000 ", $ 32.90 ,"  13,871,330 ","  35,989,330 ",0.01%,"  1,687.50 ","  4,378.24 "
WOODSIDE ENERGY GROUP LTD,"  1,372,408 "," $ 32,190,679,522 ", $ 24.15 ,"  9,573,200 ","  93,398,200 ",0.10%,"  9,854.82 ","  96,145.75 "
XCEL ENERGY INC,"  299,458 "," $ 64,451,914,800 ", $ 70.11 ,"  38,700,000 ","  62,960,000 ",0.03%,"  12,606.40 ","  20,509.01 "
Grand Total,"  51,981,336 ",,,,,,,
,,,,"  1,982,995,790 ","  10,055,113,056 ",,"  6,363,835.53 ","  125,487,602.94 "
,,,,,,,,
,,,,,,,"  6,759,366.00 ","  125,276,541.00 "
,,,,,,,,
,,,,,,Difference,"  395,530.47 ","- 211,061.94 "
