Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
ENBRIDGE INC,"  58,397,154 "," $ 146,572,060,272 ", $ 39.11 ,"  14,408,000 ","  68,508,602 ",1.56%,"  224,532.45 ","  1,067,629.41 "
ENEL SPA,"  4,817,475 "," $ 148,452,978,614 ", $ 5.40 ,"  57,089,658 ","  132,889,455 ",0.02%,"  10,001.13 ","  23,279.96 "
ENERFLEX LTD,"  1,312,901 "," $ 1,688,584,050 ", $ 6.31 ,"  30,700 ","  3,175,700 ",0.49%,  150.55 ,"  15,573.76 "
ENERGY TRANSFER LP,"  92,574 "," $ 73,678,255,672 ", $ 8.77 ,  -   ,  -   ,0.00%,  -   ,  -   
ENERPLUS CORP,"  1,961,062 "," $ 3,011,580,869 ", $ 17.65 ,"  962,453 ","  962,520 ",1.15%,"  11,062.70 ","  11,063.47 "
ENI SPA,"  776,069 "," $ 62,574,576,119 ", $ 14.26 ,"  40,182,973 ","  219,609,973 ",0.02%,"  7,106.11 ","  38,836.67 "
ENTERPRISE PRODUCTS PARTNERS,"  30,745 "," $ 82,329,849,100 ", $ 24.12 ,"  12,000,000 ","  12,000,000 ",0.00%,  108.09 ,  108.09 
EOG RESOURCES INC,"  1,086,594 "," $ 76,104,447,600 ", $ 129.52 ,"  5,450,443 ","  115,741,443 ",0.18%,"  10,079.20 ","  214,034.11 "
EQT CORP,"  345,372 "," $ 16,669,405,300 ", $ 33.83 ,"  702,985 ","  101,720,985 ",0.07%,  492.74 ,"  71,298.37 "
EQUINOR ASA,"  758,121 "," $ 97,317,096,800 ", $ 351.80 ,"  11,500,000 ","  254,550,000 ",0.27%,"  31,516.87 ","  697,619.03 "
EQUITRANS MIDSTREAM CORP,"  54,364 "," $ 10,999,079,700 ", $ 6.70 ,"  2,356,195 ","  2,356,195 ",0.00%,  78.03 ,  78.03 
EXXON MOBIL CORP,"  5,420,097 "," $ 474,820,600,000 ", $ 110.30 ,"  105,000,000 ","  825,000,000 ",0.13%,"  132,203.31 ","  1,038,740.27 "
FIRSTENERGY CORP,"  3,560,630 "," $ 46,215,171,300 ", $ 41.94 ,"  17,410,250 ","  49,240,650 ",0.32%,"  56,256.89 ","  159,108.90 "
FORTIS INC,"  22,580,753 "," $ 43,128,768,173 ", $ 40.02 ,"  8,927,000 ","  116,697,000 ",2.10%,"  187,026.38 ","  2,444,877.01 "
FRANCO-NEVADA CORP,"  4,565,074 "," $ 18,449,735,339 ", $ 136.32 ,  50 ,  134 ,3.37%,  1.69 ,  4.52 
FREEHOLD ROYALTIES LTD,  -   ," $ 1,878,026,458 ", $ 11.69 ,  -   ,  -   ,0.00%,  -   ,  -   
GALP ENERGIA SGPS SA,"  141,975 "," $ 15,059,101,521 ", $ 13.53 ,"  3,498,017 ","  50,343,318 ",0.01%,  446.32 ,"  6,423.37 "
GLENCORE PLC,"  5,934,795 "," $ 107,969,709,600 ", $ 552.40 ,"  27,037,000 ","  369,137,000 ",3.04%,"  820,948.59 ","  11,208,436.54 "
HALLIBURTON CO,"  736,320 "," $ 42,260,700,000 ", $ 39.35 ,"  3,727,034 ","  3,904,376 ",0.07%,"  2,555.28 ","  2,676.86 "
HESS CORP,"  188,850 "," $ 50,727,002,900 ", $ 141.82 ,"  2,666,933 ","  50,912,535 ",0.05%,"  1,408.08 ","  26,880.66 "
IMPERIAL OIL LTD,"  5,631,585 "," $ 28,938,255,338 ", $ 48.71 ,"  14,930,000 ","  14,930,000 ",0.95%,"  141,520.67 ","  141,520.67 "
INFRAESTRUCTURA ENERGETICA N,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
INTER PIPELINE LTD,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
ITOCHU CORP,"  937,889 "," $ 75,878,056,062 ", $ 31.63 ,"  2,263,692 ","  4,731,172 ",0.04%,  885.05 ,"  1,849.78 "
KEYERA CORP,"  705,675 "," $ 7,891,236,074 ", $ 21.85 ,"  1,733,232 ","  1,735,962 ",0.20%,"  3,387.26 ","  3,392.59 "
KINDER MORGAN INC,"  7,343,837 "," $ 73,340,083,800 ", $ 18.08 ,"  18,000,000 ","  18,000,000 ",0.18%,"  32,587.61 ","  32,587.61 "
MARATHON OIL CORP,"  848,686 "," $ 22,880,310,000 ", $ 27.07 ,"  3,360,000 ","  45,410,000 ",0.10%,"  3,373.75 ","  45,595.81 "
MARATHON PETROLEUM CORP,"  1,276,397 "," $ 76,352,060,000 ", $ 116.39 ,"  40,400,000 ","  506,400,000 ",0.19%,"  78,607.15 ","  985,313.38 "
MEG ENERGY CORP,"  224,450 "," $ 5,258,470,523 ", $ 13.92 ,"  2,368,463 ","  2,384,503 ",0.06%,"  1,407.42 ","  1,416.96 "
NRG ENERGY INC,"  237,411 "," $ 15,176,632,000 ", $ 31.82 ,"  37,559,433 ","  37,561,865 ",0.05%,"  18,695.83 ","  18,697.04 "
NUVISTA ENERGY LTD,  -   ," $ 2,236,125,334 ", $ 9.22 ,"  384,381 ","  755,312 ",0.00%,  -   ,  -   
OBSIDIAN ENERGY LTD,  -   ," $ 717,018,885 ", $ 6.63 ,"  395,426 ","  395,426 ",0.00%,  -   ,  -   
OCCIDENTAL PETROLEUM CORP,"  1,667,867 "," $ 86,606,114,900 ", $ 62.99 ,"  22,500,000 ","  239,500,000 ",0.12%,"  27,293.99 ","  290,529.33 "
OGE ENERGY CORP,"  39,426 "," $ 12,413,210,000 ", $ 39.55 ,"  10,125,700 ","  18,749,700 ",0.01%,"  1,271.95 ","  2,355.26 "
ONEOK INC,"  654,761 "," $ 42,881,524,600 ", $ 65.70 ,"  6,600,000 ","  70,900,000 ",0.10%,"  6,620.97 ","  71,125.31 "
OVINTIV INC,"  330,658 "," $ 16,947,447,000 ", $ 50.71 ,"  3,738,714 ","  3,738,714 ",0.10%,"  3,699.05 ","  3,699.05 "
PAMPA ENERGIA SA-SPON ADR,  -   ," $ 762,848,269,900 ", $ 31.94 ,"  7,809,890 ","  7,809,890 ",0.00%,  -   ,  -   
PARAMOUNT RESOURCES LTD -A,  -   ," $ 3,132,817,520 ", $ 21.15 ,"  560,451 ","  560,451 ",0.00%,  -   ,  -   
PARKLAND CORP,"  1,270,138 "," $ 8,516,333,237 ", $ 21.94 ,"  616,420 ","  616,420 ",0.33%,"  2,017.27 ","  2,017.27 "
PEYTO EXPLORATION & DEV CORP,  -   ," $ 2,406,710,113 ", $ 10.24 ,"  713,781 ","  713,781 ",0.00%,  -   ,  -   
PEMBINA PIPELINE CORP,"  20,955,152 "," $ 28,162,846,184 ", $ 33.94 ,"  4,139,710 ","  5,873,170 ",2.53%,"  104,556.53 ","  148,338.48 "
PETROBRAS - PETROLEO BRAS-PR,"  622,067 "," $ 101,761,754,548 ", $ 4.64 ,"  47,902,355 ","  491,186,355 ",0.00%,"  1,357.69 ","  13,921.61 "
P G & E CORP,"  14,961,217 "," $ 85,165,383,300 ", $ 16.26 ,"  4,049,399 ","  45,554,598 ",0.29%,"  11,566.85 ","  130,123.75 "
PHILLIPS 66,"  1,119,718 "," $ 65,181,041,200 ", $ 104.08 ,"  31,200,000 ","  385,200,000 ",0.18%,"  55,783.95 ","  688,717.20 "
PIONEER NATURAL RESOURCES CO,"  1,261,935 "," $ 58,662,262,000 ", $ 228.39 ,"  3,350,144 ","  165,350,144 ",0.49%,"  16,459.58 ","  812,381.16 "
PLAINS ALL AMER PIPELINE LP,  -   ," $ 18,928,648,900 ", $ 11.76 ,"  1,984,000 ","  1,984,000 ",0.00%,  -   ,  -   
PUBLIC SERVICE ENTERPRISE GP,"  557,526 "," $ 50,425,190,000 ", $ 61.27 ,"  2,868,611 ","  2,868,611 ",0.07%,"  1,943.29 ","  1,943.29 "
RWE AG,"  508,593 "," $ 33,269,047,737 ", $ 44.64 ,"  85,500,000 ","  107,600,000 ",0.07%,"  58,341.59 ","  73,421.70 "
SASOL LTD,  -   ," $ 18,610,776,214 "," $ 2,185.74 ","  63,571,398 ","  101,128,398 ",0.00%,  -   ,  -   
SCHLUMBERGER LTD,"  1,126,013 "," $ 86,248,200,000 ", $ 53.46 ,"  1,884,000 ","  36,733,000 ",0.07%,"  1,314.93 ","  25,637.68 "
SECURE ENERGY SERVICES INC,  -   ," $ 2,358,931,282 ", $ 5.19 ,"  238,196 ","  238,196 ",0.00%,  -   ,  -   
SEMPRA,"  895,268 "," $ 80,593,561,000 ", $ 77.27 ,"  7,428,409 ","  74,077,706 ",0.09%,"  6,376.16 ","  63,584.48 "
SHELL PLC,"  6,280,400 "," $ 241,953,060,700 "," $ 2,326.00 ","  59,000,000 ","  1,262,750,000 ",6.04%,"  3,562,196.78 ","  76,240,067.51 "
SOUTHERN CO/THE,"  2,134,292 "," $ 139,821,590,000 ", $ 71.41 ,"  85,111,461 ","  123,629,262 ",0.11%,"  92,774.08 ","  134,759.66 "
SOUTHWESTERN ENERGY CO,"  568,934 "," $ 10,951,595,700 ", $ 5.85 ,"  1,287,610 ","  1,287,610 ",0.03%,  391.31 ,  391.31 
SUNCOR ENERGY INC,"  39,958,734 "," $ 52,499,482,930 ", $ 31.72 ,"  34,875,881 ","  177,875,881 ",2.41%,"  842,038.62 ","  4,294,611.53 "
TAMARACK VALLEY ENERGY LTD,"  487,700 "," $ 2,723,648,190 ", $ 3.29 ,"  534,280 ","  534,280 ",0.06%,  315.13 ,  315.13 
TARGA RESOURCES CORP,"  262,291 "," $ 30,291,003,800 ", $ 73.50 ,"  11,700,000 ","  44,300,000 ",0.06%,"  7,446.34 ","  28,194.27 "
TC ENERGY CORP,"  54,709,199 "," $ 85,443,971,898 ", $ 39.87 ,"  23,246,029 ","  26,764,869 ",2.55%,"  593,400.00 ","  683,225.22 "
TECK RESOURCES LTD-CLS B,"  5,880,796 "," $ 24,523,739,981 ", $ 37.83 ,"  2,932,000 ","  72,355,000 ",0.91%,"  26,597.44 ","  656,363.61 "
TOTALENERGIES SE,"  889,602 "," $ 173,138,722,900 ", $ 58.65 ,"  39,360,000 ","  488,360,000 ",0.03%,"  11,861.09 ","  147,166.73 "
TOURMALINE OIL CORP,"  518,770 "," $ 17,554,291,766 ", $ 50.46 ,"  3,012,770 ","  3,012,770 ",0.15%,"  4,492.54 ","  4,492.54 "
TRANSALTA CORP,"  11,907,282 "," $ 5,629,179,237 ", $ 8.94 ,"  10,247,622 ","  13,871,592 ",1.89%,"  193,874.98 ","  262,436.94 "
VALERO ENERGY CORP,"  1,075,056 "," $ 56,975,238,600 ", $ 126.86 ,"  32,328,000 ","  32,328,000 ",0.24%,"  77,383.52 ","  77,383.52 "
VERMILION ENERGY INC,"  743,672 "," $ 3,716,128,766 ", $ 17.70 ,"  824,207 ","  12,506,707 ",0.35%,"  2,919.99 ","  44,308.66 "
VISTA ENERGY SAB DE CV,  -   ," $ 89,076,178 ", $ 15.86 ,  -   ,  -   ,0.00%,  -   ,  -   
VISTRA CORP,"  53,938 "," $ 23,207,313,000 ", $ 23.20 ,"  95,005,240 ","  97,366,670 ",0.01%,"  5,122.78 ","  5,250.11 "
WEC ENERGY GROUP INC,"  845,755 "," $ 47,109,841,600 ", $ 93.76 ,"  19,102,000 ","  19,102,000 ",0.17%,"  32,153.58 ","  32,153.58 "
WHITECAP RESOURCES INC,"  62,550 "," $ 6,212,073,047 ", $ 7.93 ,"  2,057,232 ","  2,057,232 ",0.01%,  164.31 ,  164.31 
WILLIAMS COS INC,"  2,411,800 "," $ 65,242,200,000 ", $ 32.90 ,"  13,871,330 ","  35,989,330 ",0.12%,"  16,870.45 ","  43,770.59 "
WOODSIDE ENERGY GROUP LTD,"  3,784,299 "," $ 32,190,679,522 ", $ 24.15 ,"  9,573,200 ","  93,398,200 ",0.28%,"  27,173.83 ","  265,113.77 "
XCEL ENERGY INC,"  831,437 "," $ 64,451,914,800 ", $ 70.11 ,"  38,700,000 ","  62,960,000 ",0.09%,"  35,001.32 ","  56,942.72 "
,,,,,,,,
,,,,"  1,982,995,790 ","  10,055,113,056 ",,"  13,835,051.66 ","  161,793,149.36 "
,,,,,,,,
,,,,,,Report,"  13,835,052.00 ","  161,793,149.00 "
,,,,,,,,
,,,,,,Difference,  0.34 ,- 0.36 
