Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
CARLYLE GROUP INC/THE,"  1,272,015 "," $ 12,616,191,700 ", $ 29.84 ,"  6,012 ","  20,901 ",0.30%,  18.09 ,  62.88 
CENOVUS ENERGY INC,"  15,826,264 "," $ 42,692,149,004 ", $ 19.40 ,"  18,100,000 ","  161,700,000 ",0.72%,"  130,183.52 ","  1,163,020.69 "
CENTERPOINT ENERGY INC,"  52,033 "," $ 36,387,773,600 ", $ 29.99 ,"  4,891,379 ","  31,301,680 ",0.00%,  209.76 ,"  1,342.36 "
CHENIERE ENERGY INC,"  103,361 "," $ 66,237,180,000 ", $ 149.96 ,"  11,168,945 ","  11,168,945 ",0.02%,"  2,613.62 ","  2,613.62 "
CHESAPEAKE ENERGY CORP,"  5,859 "," $ 15,795,063,400 ", $ 94.37 ,"  1,729,353 ","  83,729,353 ",0.00%,  60.54 ,"  2,930.99 "
CHEVRON CORP,"  670,591 "," $ 354,191,181,400 ", $ 179.49 ,"  53,000,000 ","  645,000,000 ",0.03%,"  18,010.93 ","  219,189.60 "
CIVITAS RESOURCES INC,  -   ," $ 4,581,067,200 ", $ 57.93 ,"  1,250,800 ","  1,250,800 ",0.00%,  -   ,  -   
CMS ENERGY CORP,"  30,978 "," $ 33,410,029,000 ", $ 63.33 ,"  17,687,946 ","  42,502,046 ",0.01%,"  1,038.64 ","  2,495.72 "
CONOCOPHILLIPS,"  764,691 "," $ 112,527,312,228 ", $ 87.15 ,"  16,014,000 ","  251,014,000 ",0.06%,"  9,484.12 ","  148,660.28 "
CONTINENTAL RESOURCES INC/OK,  -   , $ -   , $ 54.85 ,"  3,350,000 ","  3,350,000 ",,  -   ,  -   
CRESCENT ENERGY INC-A,  -   ," $ 3,273,949,600 ", $ 11.99 ,"  1,981,075 ","  1,981,075 ",0.00%,  -   ,  -   
CRESCENT POINT ENERGY CORP,"  3,740,177 "," $ 4,872,505,924 ", $ 7.13 ,"  1,305,425 ","  1,305,425 ",0.55%,"  7,149.17 ","  7,149.17 "
DIAMONDBACK ENERGY INC,"  318,846 "," $ 23,169,150,950 ", $ 101.02 ,"  2,161,367 ","  47,251,969 ",0.14%,"  3,004.75 ","  65,690.16 "
DOMINION ENERGY INC,"  248,103 "," $ 69,988,498,518 ", $ 45.29 ,"  33,645,033 ","  62,924,334 ",0.02%,"  5,401.51 ","  10,102.13 "
DTE ENERGY COMPANY,"  320,034 "," $ 32,030,676,988 ", $ 86.80 ,"  27,278,000 ","  53,475,000 ",0.09%,"  23,658.01 ","  46,378.48 "
DUKE ENERGY CORP,"  149,070 "," $ 118,331,886,647 ", $ 76.06 ,"  79,220,000 ","  117,808,000 ",0.01%,"  7,591.11 ","  11,288.73 "
ECOPETROL SA,  -   ," $ 46,821,436,789 ", $ 0.50 ,"  13,460,534 ","  166,908,534 ",0.00%,  -   ,  -   
EMERA INC,  -   ," $ 25,260,232,900 ", $ 38.22 ,"  14,925,227 ","  23,735,997 ",0.00%,  -   ,  -   
ENBRIDGE INC,"  30,084,838 "," $ 146,572,060,272 ", $ 39.11 ,"  14,408,000 ","  68,508,602 ",0.80%,"  115,673.83 ","  550,017.52 "
ENEL SPA,  -   ," $ 148,452,978,614 ", $ 5.40 ,"  57,089,658 ","  132,889,455 ",0.00%,  -   ,  -   
ENERFLEX LTD,"  9,968,055 "," $ 1,688,584,050 ", $ 6.31 ,"  30,700 ","  3,175,700 ",3.72%,"  1,143.07 ","  118,242.07 "
ENERGY TRANSFER LP,  -   ," $ 73,678,255,672 ", $ 8.77 ,  -   ,  -   ,0.00%,  -   ,  -   
ENERPLUS CORP,"  908,693 "," $ 3,011,580,869 ", $ 17.65 ,"  962,453 ","  962,520 ",0.53%,"  5,126.10 ","  5,126.46 "
ENI SPA,  -   ," $ 62,574,576,119 ", $ 14.26 ,"  40,182,973 ","  219,609,973 ",0.00%,  -   ,  -   
ENTERPRISE PRODUCTS PARTNERS,  -   ," $ 82,329,849,100 ", $ 24.12 ,"  12,000,000 ","  12,000,000 ",0.00%,  -   ,  -   
EOG RESOURCES INC,"  279,336 "," $ 76,104,447,600 ", $ 129.52 ,"  5,450,443 ","  115,741,443 ",0.05%,"  2,591.11 ","  55,022.79 "
EQT CORP,"  8,653 "," $ 16,669,405,300 ", $ 33.83 ,"  702,985 ","  101,720,985 ",0.00%,  12.35 ,"  1,786.32 "
EQUINOR ASA,  -   ," $ 97,317,096,800 ", $ 351.80 ,"  11,500,000 ","  254,550,000 ",0.00%,  -   ,  -   
EQUITRANS MIDSTREAM CORP,  -   ," $ 10,999,079,700 ", $ 6.70 ,"  2,356,195 ","  2,356,195 ",0.00%,  -   ,  -   
EXXON MOBIL CORP,"  1,201,591 "," $ 474,820,600,000 ", $ 110.30 ,"  105,000,000 ","  825,000,000 ",0.03%,"  29,308.39 ","  230,280.19 "
FIRSTENERGY CORP,"  61,346 "," $ 46,215,171,300 ", $ 41.94 ,"  17,410,250 ","  49,240,650 ",0.01%,  969.25 ,"  2,741.28 "
FORTIS INC,"  12,841,423 "," $ 43,128,768,173 ", $ 40.02 ,"  8,927,000 ","  116,697,000 ",1.19%,"  106,359.82 ","  1,390,374.36 "
FRANCO-NEVADA CORP,"  1,760,470 "," $ 18,449,735,339 ", $ 136.32 ,  50 ,  134 ,1.30%,  0.65 ,  1.74 
FREEHOLD ROYALTIES LTD,  -   ," $ 1,878,026,458 ", $ 11.69 ,  -   ,  -   ,0.00%,  -   ,  -   
GALP ENERGIA SGPS SA,  -   ," $ 15,059,101,521 ", $ 13.53 ,"  3,498,017 ","  50,343,318 ",0.00%,  -   ,  -   
GLENCORE PLC,  -   ," $ 107,969,709,600 ", $ 552.40 ,"  27,037,000 ","  369,137,000 ",0.00%,  -   ,  -   
HALLIBURTON CO,"  265,146 "," $ 42,260,700,000 ", $ 39.35 ,"  3,727,034 ","  3,904,376 ",0.02%,  920.15 ,  963.93 
HESS CORP,"  126,745 "," $ 50,727,002,900 ", $ 141.82 ,"  2,666,933 ","  50,912,535 ",0.04%,  945.02 ,"  18,040.72 "
IMPERIAL OIL LTD,"  2,420,071 "," $ 28,938,255,338 ", $ 48.71 ,"  14,930,000 ","  14,930,000 ",0.41%,"  60,815.93 ","  60,815.93 "
INFRAESTRUCTURA ENERGETICA N,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
INTER PIPELINE LTD,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
ITOCHU CORP,  -   ," $ 75,878,056,062 ", $ 31.63 ,"  2,263,692 ","  4,731,172 ",0.00%,  -   ,  -   
KEYERA CORP,  -   ," $ 7,891,236,074 ", $ 21.85 ,"  1,733,232 ","  1,735,962 ",0.00%,  -   ,  -   
KINDER MORGAN INC,"  3,297,375 "," $ 73,340,083,800 ", $ 18.08 ,"  18,000,000 ","  18,000,000 ",0.08%,"  14,631.80 ","  14,631.80 "
MARATHON OIL CORP,"  130,262 "," $ 22,880,310,000 ", $ 27.07 ,"  3,360,000 ","  45,410,000 ",0.02%,  517.83 ,"  6,998.35 "
MARATHON PETROLEUM CORP,"  618,668 "," $ 76,352,060,000 ", $ 116.39 ,"  40,400,000 ","  506,400,000 ",0.09%,"  38,100.79 ","  477,580.14 "
MEG ENERGY CORP,  -   ," $ 5,258,470,523 ", $ 13.92 ,"  2,368,463 ","  2,384,503 ",0.00%,  -   ,  -   
NRG ENERGY INC,"  176,392 "," $ 15,176,632,000 ", $ 31.82 ,"  37,559,433 ","  37,561,865 ",0.04%,"  13,890.65 ","  13,891.55 "
NUVISTA ENERGY LTD,  -   ," $ 2,236,125,334 ", $ 9.22 ,"  384,381 ","  755,312 ",0.00%,  -   ,  -   
OBSIDIAN ENERGY LTD,  -   ," $ 717,018,885 ", $ 6.63 ,"  395,426 ","  395,426 ",0.00%,  -   ,  -   
OCCIDENTAL PETROLEUM CORP,"  104,304 "," $ 86,606,114,900 ", $ 62.99 ,"  22,500,000 ","  239,500,000 ",0.01%,"  1,706.89 ","  18,168.94 "
OGE ENERGY CORP,  -   ," $ 12,413,210,000 ", $ 39.55 ,"  10,125,700 ","  18,749,700 ",0.00%,  -   ,  -   
ONEOK INC,"  67,830 "," $ 42,881,524,600 ", $ 65.70 ,"  6,600,000 ","  70,900,000 ",0.01%,  685.90 ,"  7,368.23 "
OVINTIV INC,"  204,100 "," $ 16,947,447,000 ", $ 50.71 ,"  3,738,714 ","  3,738,714 ",0.06%,"  2,283.26 ","  2,283.26 "
PAMPA ENERGIA SA-SPON ADR,  -   ," $ 762,848,269,900 ", $ 31.94 ,"  7,809,890 ","  7,809,890 ",0.00%,  -   ,  -   
PARAMOUNT RESOURCES LTD -A,  -   ," $ 3,132,817,520 ", $ 21.15 ,"  560,451 ","  560,451 ",0.00%,  -   ,  -   
PARKLAND CORP,  -   ," $ 8,516,333,237 ", $ 21.94 ,"  616,420 ","  616,420 ",0.00%,  -   ,  -   
PEYTO EXPLORATION & DEV CORP,  -   ," $ 2,406,710,113 ", $ 10.24 ,"  713,781 ","  713,781 ",0.00%,  -   ,  -   
PEMBINA PIPELINE CORP,"  18,338,900 "," $ 28,162,846,184 ", $ 33.94 ,"  4,139,710 ","  5,873,170 ",2.21%,"  91,502.64 ","  129,818.41 "
PETROBRAS - PETROLEO BRAS-PR,  -   ," $ 101,761,754,548 ", $ 4.64 ,"  47,902,355 ","  491,186,355 ",0.00%,  -   ,  -   
P G & E CORP,"  108,102 "," $ 85,165,383,300 ", $ 16.26 ,"  4,049,399 ","  45,554,598 ",0.00%,  83.58 ,  940.21 
PHILLIPS 66,"  121,810 "," $ 65,181,041,200 ", $ 104.08 ,"  31,200,000 ","  385,200,000 ",0.02%,"  6,068.53 ","  74,923.01 "
PIONEER NATURAL RESOURCES CO,"  110,448 "," $ 58,662,262,000 ", $ 228.39 ,"  3,350,144 ","  165,350,144 ",0.04%,"  1,440.59 ","  71,101.82 "
PLAINS ALL AMER PIPELINE LP,  -   ," $ 18,928,648,900 ", $ 11.76 ,"  1,984,000 ","  1,984,000 ",0.00%,  -   ,  -   
PUBLIC SERVICE ENTERPRISE GP,"  43,855 "," $ 50,425,190,000 ", $ 61.27 ,"  2,868,611 ","  2,868,611 ",0.01%,  152.86 ,  152.86 
RWE AG,  -   ," $ 33,269,047,737 ", $ 44.64 ,"  85,500,000 ","  107,600,000 ",0.00%,  -   ,  -   
SASOL LTD,  -   ," $ 18,610,776,214 "," $ 2,185.74 ","  63,571,398 ","  101,128,398 ",0.00%,  -   ,  -   
SCHLUMBERGER LTD,"  667,431 "," $ 86,248,200,000 ", $ 53.46 ,"  1,884,000 ","  36,733,000 ",0.04%,  779.41 ,"  15,196.43 "
SECURE ENERGY SERVICES INC,  -   ," $ 2,358,931,282 ", $ 5.19 ,"  238,196 ","  238,196 ",0.00%,  -   ,  -   
SEMPRA,"  99,304 "," $ 80,593,561,000 ", $ 77.27 ,"  7,428,409 ","  74,077,706 ",0.01%,  707.25 ,"  7,052.85 "
SHELL PLC,"  2,746,602 "," $ 241,953,060,700 "," $ 2,326.00 ","  59,000,000 ","  1,262,750,000 ",2.64%,"  1,557,852.49 ","  33,342,004.00 "
SOUTHERN CO/THE,"  127,238 "," $ 139,821,590,000 ", $ 71.41 ,"  85,111,461 ","  123,629,262 ",0.01%,"  5,530.82 ","  8,033.83 "
SOUTHWESTERN ENERGY CO,  -   ," $ 10,951,595,700 ", $ 5.85 ,"  1,287,610 ","  1,287,610 ",0.00%,  -   ,  -   
SUNCOR ENERGY INC,"  19,366,427 "," $ 52,499,482,930 ", $ 31.72 ,"  34,875,881 ","  177,875,881 ",1.17%,"  408,103.00 ","  2,081,429.32 "
TAMARACK VALLEY ENERGY LTD,  -   ," $ 2,723,648,190 ", $ 3.29 ,"  534,280 ","  534,280 ",0.00%,  -   ,  -   
TARGA RESOURCES CORP,"  18,330 "," $ 30,291,003,800 ", $ 73.50 ,"  11,700,000 ","  44,300,000 ",0.00%,  520.38 ,"  1,970.33 "
TC ENERGY CORP,"  73,084,431 "," $ 85,443,971,898 ", $ 39.87 ,"  23,246,029 ","  26,764,869 ",3.41%,"  792,705.84 ","  912,700.74 "
TECK RESOURCES LTD-CLS B,"  4,495,290 "," $ 24,523,739,981 ", $ 37.83 ,"  2,932,000 ","  72,355,000 ",0.69%,"  20,331.13 ","  501,725.41 "
TOTALENERGIES SE,  -   ," $ 173,138,722,900 ", $ 58.65 ,"  39,360,000 ","  488,360,000 ",0.00%,  -   ,  -   
TOURMALINE OIL CORP,  -   ," $ 17,554,291,766 ", $ 50.46 ,"  3,012,770 ","  3,012,770 ",0.00%,  -   ,  -   
TRANSALTA CORP,"  2,444,103 "," $ 5,629,179,237 ", $ 8.94 ,"  10,247,622 ","  13,871,592 ",0.39%,"  39,795.01 ","  53,868.12 "
VALERO ENERGY CORP,"  90,339 "," $ 56,975,238,600 ", $ 126.86 ,"  32,328,000 ","  32,328,000 ",0.02%,"  6,502.68 ","  6,502.68 "
VERMILION ENERGY INC,"  2,621,760 "," $ 3,716,128,766 ", $ 17.70 ,"  824,207 ","  12,506,707 ",1.25%,"  10,294.22 ","  156,206.88 "
VISTA ENERGY SAB DE CV,  -   ," $ 89,076,178 ", $ 15.86 ,  -   ,  -   ,0.00%,  -   ,  -   
VISTRA CORP,  -   ," $ 23,207,313,000 ", $ 23.20 ,"  95,005,240 ","  97,366,670 ",0.00%,  -   ,  -   
WEC ENERGY GROUP INC,"  27,613 "," $ 47,109,841,600 ", $ 93.76 ,"  19,102,000 ","  19,102,000 ",0.01%,"  1,049.78 ","  1,049.78 "
WHITECAP RESOURCES INC,  -   ," $ 6,212,073,047 ", $ 7.93 ,"  2,057,232 ","  2,057,232 ",0.00%,  -   ,  -   
WILLIAMS COS INC,"  2,087,345 "," $ 65,242,200,000 ", $ 32.90 ,"  13,871,330 ","  35,989,330 ",0.11%,"  14,600.90 ","  37,882.21 "
WOODSIDE ENERGY GROUP LTD,  -   ," $ 32,190,679,522 ", $ 24.15 ,"  9,573,200 ","  93,398,200 ",0.00%,  -   ,  -   
XCEL ENERGY INC,"  152,502 "," $ 64,451,914,800 ", $ 70.11 ,"  38,700,000 ","  62,960,000 ",0.02%,"  6,419.94 ","  10,444.42 "
,,,,,,,,
,,,,"  1,982,995,790 ","  10,055,113,056 ",,"  5,251,988.98 ","  57,034,013.48 "
,,,,,,,,
,,,,,,,"  5,251,989.00 ","  57,034,013.00 "
,,,,,,,,
,,,,,,Difference,  0.02 ,- 0.48 
