Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
BERRY CORP,  -   ," $ 955,625,000 ", $ 8.00 ,  -   ,  -   ,0.00%,  -   ,  -   
BIRCHCLIFF ENERGY LTD,  -   ," $ 1,960,382,990 ", $ 6.96 ,"  382,823 ","  382,823 ",0.00%,  -   ,  -   
BP PLC,"  650,340 "," $ 144,148,168,500 ", $ 474.90 ,"  32,500,000 ","  339,200,000 ",0.21%,"  69,633.28 ","  726,757.21 "
CANADIAN NATURAL RESOURCES,"  12,614,963 "," $ 69,780,224,625 ", $ 55.53 ,"  26,335,750 ","  150,449,750 ",1.00%,"  264,390.81 ","  1,510,400.54 "
CARLYLE GROUP INC/THE,"  2,087,542 "," $ 12,616,191,700 ", $ 29.84 ,"  6,012 ","  20,901 ",0.49%,  29.68 ,  103.20 
CENOVUS ENERGY INC,  -   ," $ 42,692,149,004 ", $ 19.40 ,"  18,100,000 ","  161,700,000 ",0.00%,  -   ,  -   
CENTERPOINT ENERGY INC,"  42,917 "," $ 36,387,773,600 ", $ 29.99 ,"  4,891,379 ","  31,301,680 ",0.00%,  173.01 ,"  1,107.18 "
CHENIERE ENERGY INC,"  79,434 "," $ 66,237,180,000 ", $ 149.96 ,"  11,168,945 ","  11,168,945 ",0.02%,"  2,008.59 ","  2,008.59 "
CHESAPEAKE ENERGY CORP,"  4,785 "," $ 15,795,063,400 ", $ 94.37 ,"  1,729,353 ","  83,729,353 ",0.00%,  49.44 ,"  2,393.71 "
CHEVRON CORP,"  262,104 "," $ 354,191,181,400 ", $ 179.49 ,"  53,000,000 ","  645,000,000 ",0.01%,"  7,039.67 ","  85,671.40 "
CIVITAS RESOURCES INC,  -   ," $ 4,581,067,200 ", $ 57.93 ,"  1,250,800 ","  1,250,800 ",0.00%,  -   ,  -   
CMS ENERGY CORP,"  84,140 "," $ 33,410,029,000 ", $ 63.33 ,"  17,687,946 ","  42,502,046 ",0.02%,"  2,821.06 ","  6,778.68 "
CONOCOPHILLIPS,"  99,052 "," $ 112,527,312,228 ", $ 87.15 ,"  16,014,000 ","  251,014,000 ",0.01%,"  1,228.50 ","  19,256.27 "
CONTINENTAL RESOURCES INC/OK,  -   , $ -   , $ 54.85 ,"  3,350,000 ","  3,350,000 ",,  -   ,  -   
CRESCENT ENERGY INC-A,  -   ," $ 3,273,949,600 ", $ 11.99 ,"  1,981,075 ","  1,981,075 ",0.00%,  -   ,  -   
CRESCENT POINT ENERGY CORP,"  2,166,200 "," $ 4,872,505,924 ", $ 7.13 ,"  1,305,425 ","  1,305,425 ",0.32%,"  4,140.59 ","  4,140.59 "
DIAMONDBACK ENERGY INC,"  9,672 "," $ 23,169,150,950 ", $ 101.02 ,"  2,161,367 ","  47,251,969 ",0.00%,  91.15 ,"  1,992.67 "
DOMINION ENERGY INC,"  39,660 "," $ 69,988,498,518 ", $ 45.29 ,"  33,645,033 ","  62,924,334 ",0.00%,  863.45 ,"  1,614.86 "
DTE ENERGY COMPANY,"  57,350 "," $ 32,030,676,988 ", $ 86.80 ,"  27,278,000 ","  53,475,000 ",0.02%,"  4,239.51 ","  8,311.01 "
DUKE ENERGY CORP,"  153,282 "," $ 118,331,886,647 ", $ 76.06 ,"  79,220,000 ","  117,808,000 ",0.01%,"  7,805.60 ","  11,607.70 "
ECOPETROL SA,  -   ," $ 46,821,436,789 ", $ 0.50 ,"  13,460,534 ","  166,908,534 ",0.00%,  -   ,  -   
EMERA INC,"  8,480 "," $ 25,260,232,900 ", $ 38.22 ,"  14,925,227 ","  23,735,997 ",0.00%,  191.50 ,  304.55 
ENBRIDGE INC,"  16,923,821 "," $ 146,572,060,272 ", $ 39.11 ,"  14,408,000 ","  68,508,602 ",0.45%,"  65,070.76 ","  309,404.96 "
ENEL SPA,"  334,196 "," $ 148,452,978,614 ", $ 5.40 ,"  57,089,658 ","  132,889,455 ",0.00%,  693.79 ,"  1,614.97 "
ENERFLEX LTD,  -   ," $ 1,688,584,050 ", $ 6.31 ,"  30,700 ","  3,175,700 ",0.00%,  -   ,  -   
ENERGY TRANSFER LP,"  74,836 "," $ 73,678,255,672 ", $ 8.77 ,  -   ,  -   ,0.00%,  -   ,  -   
ENERPLUS CORP,"  587,999 "," $ 3,011,580,869 ", $ 17.65 ,"  962,453 ","  962,520 ",0.34%,"  3,317.01 ","  3,317.24 "
ENI SPA,  -   ," $ 62,574,576,119 ", $ 14.26 ,"  40,182,973 ","  219,609,973 ",0.00%,  -   ,  -   
ENTERPRISE PRODUCTS PARTNERS,"  33,413 "," $ 82,329,849,100 ", $ 24.12 ,"  12,000,000 ","  12,000,000 ",0.00%,  117.47 ,  117.47 
EOG RESOURCES INC,"  452,818 "," $ 76,104,447,600 ", $ 129.52 ,"  5,450,443 ","  115,741,443 ",0.08%,"  4,200.32 ","  89,194.77 "
EQT CORP,"  11,316 "," $ 16,669,405,300 ", $ 33.83 ,"  702,985 ","  101,720,985 ",0.00%,  16.14 ,"  2,336.07 "
EQUINOR ASA,"  250,710 "," $ 97,317,096,800 ", $ 351.80 ,"  11,500,000 ","  254,550,000 ",0.09%,"  10,422.60 ","  230,702.05 "
EQUITRANS MIDSTREAM CORP,  883 ," $ 10,999,079,700 ", $ 6.70 ,"  2,356,195 ","  2,356,195 ",0.00%,  1.27 ,  1.27 
EXXON MOBIL CORP,"  427,558 "," $ 474,820,600,000 ", $ 110.30 ,"  105,000,000 ","  825,000,000 ",0.01%,"  10,428.70 ","  81,939.81 "
FIRSTENERGY CORP,"  35,598 "," $ 46,215,171,300 ", $ 41.94 ,"  17,410,250 ","  49,240,650 ",0.00%,  562.44 ,"  1,590.72 "
FORTIS INC,"  5,284,626 "," $ 43,128,768,173 ", $ 40.02 ,"  8,927,000 ","  116,697,000 ",0.49%,"  43,770.22 ","  572,180.24 "
FRANCO-NEVADA CORP,"  1,524,986 "," $ 18,449,735,339 ", $ 136.32 ,  50 ,  134 ,1.13%,  0.56 ,  1.51 
FREEHOLD ROYALTIES LTD,  -   ," $ 1,878,026,458 ", $ 11.69 ,  -   ,  -   ,0.00%,  -   ,  -   
GALP ENERGIA SGPS SA,  -   ," $ 15,059,101,521 ", $ 13.53 ,"  3,498,017 ","  50,343,318 ",0.00%,  -   ,  -   
GLENCORE PLC,  -   ," $ 107,969,709,600 ", $ 552.40 ,"  27,037,000 ","  369,137,000 ",0.00%,  -   ,  -   
HALLIBURTON CO,"  133,354 "," $ 42,260,700,000 ", $ 39.35 ,"  3,727,034 ","  3,904,376 ",0.01%,  462.78 ,  484.80 
HESS CORP,"  29,082 "," $ 50,727,002,900 ", $ 141.82 ,"  2,666,933 ","  50,912,535 ",0.01%,  216.84 ,"  4,139.49 "
IMPERIAL OIL LTD,"  1,266,732 "," $ 28,938,255,338 ", $ 48.71 ,"  14,930,000 ","  14,930,000 ",0.21%,"  31,832.74 ","  31,832.74 "
INFRAESTRUCTURA ENERGETICA N,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
INTER PIPELINE LTD,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
ITOCHU CORP,  -   ," $ 75,878,056,062 ", $ 31.63 ,"  2,263,692 ","  4,731,172 ",0.00%,  -   ,  -   
KEYERA CORP,"  529,177 "," $ 7,891,236,074 ", $ 21.85 ,"  1,733,232 ","  1,735,962 ",0.15%,"  2,540.06 ","  2,544.06 "
KINDER MORGAN INC,"  405,847 "," $ 73,340,083,800 ", $ 18.08 ,"  18,000,000 ","  18,000,000 ",0.01%,"  1,800.91 ","  1,800.91 "
MARATHON OIL CORP,"  1,690,463 "," $ 22,880,310,000 ", $ 27.07 ,"  3,360,000 ","  45,410,000 ",0.20%,"  6,720.03 ","  90,820.42 "
MARATHON PETROLEUM CORP,"  102,737 "," $ 76,352,060,000 ", $ 116.39 ,"  40,400,000 ","  506,400,000 ",0.02%,"  6,327.08 ","  79,307.72 "
MEG ENERGY CORP,  -   ," $ 5,258,470,523 ", $ 13.92 ,"  2,368,463 ","  2,384,503 ",0.00%,  -   ,  -   
NRG ENERGY INC,"  92,008 "," $ 15,176,632,000 ", $ 31.82 ,"  37,559,433 ","  37,561,865 ",0.02%,"  7,245.52 ","  7,245.99 "
NUVISTA ENERGY LTD,  -   ," $ 2,236,125,334 ", $ 9.22 ,"  384,381 ","  755,312 ",0.00%,  -   ,  -   
OBSIDIAN ENERGY LTD,"  491,466 "," $ 717,018,885 ", $ 6.63 ,"  395,426 ","  395,426 ",0.45%,"  1,797.59 ","  1,797.59 "
OCCIDENTAL PETROLEUM CORP,"  132,950 "," $ 86,606,114,900 ", $ 62.99 ,"  22,500,000 ","  239,500,000 ",0.01%,"  2,175.67 ","  23,158.85 "
OGE ENERGY CORP,  735 ," $ 12,413,210,000 ", $ 39.55 ,"  10,125,700 ","  18,749,700 ",0.00%,  23.71 ,  43.91 
ONEOK INC,"  21,332 "," $ 42,881,524,600 ", $ 65.70 ,"  6,600,000 ","  70,900,000 ",0.00%,  215.71 ,"  2,317.25 "
OVINTIV INC,"  87,042 "," $ 16,947,447,000 ", $ 50.71 ,"  3,738,714 ","  3,738,714 ",0.03%,  973.73 ,  973.73 
PAMPA ENERGIA SA-SPON ADR,  -   ," $ 762,848,269,900 ", $ 31.94 ,"  7,809,890 ","  7,809,890 ",0.00%,  -   ,  -   
PARAMOUNT RESOURCES LTD -A,"  2,802 "," $ 3,132,817,520 ", $ 21.15 ,"  560,451 ","  560,451 ",0.00%,  10.60 ,  10.60 
PARKLAND CORP,"  67,930 "," $ 8,516,333,237 ", $ 21.94 ,"  616,420 ","  616,420 ",0.02%,  107.89 ,  107.89 
PEYTO EXPLORATION & DEV CORP,  -   ," $ 2,406,710,113 ", $ 10.24 ,"  713,781 ","  713,781 ",0.00%,  -   ,  -   
PEMBINA PIPELINE CORP,"  7,373,100 "," $ 28,162,846,184 ", $ 33.94 ,"  4,139,710 ","  5,873,170 ",0.89%,"  36,788.36 ","  52,193.10 "
PETROBRAS - PETROLEO BRAS-PR,  -   ," $ 101,761,754,548 ", $ 4.64 ,"  47,902,355 ","  491,186,355 ",0.00%,  -   ,  -   
P G & E CORP,"  187,042 "," $ 85,165,383,300 ", $ 16.26 ,"  4,049,399 ","  45,554,598 ",0.00%,  144.61 ,"  1,626.78 "
PHILLIPS 66,"  40,376 "," $ 65,181,041,200 ", $ 104.08 ,"  31,200,000 ","  385,200,000 ",0.01%,"  2,011.52 ","  24,834.51 "
PIONEER NATURAL RESOURCES CO,"  153,013 "," $ 58,662,262,000 ", $ 228.39 ,"  3,350,144 ","  165,350,144 ",0.06%,"  1,995.77 ","  98,503.39 "
PLAINS ALL AMER PIPELINE LP,"  28,759 "," $ 18,928,648,900 ", $ 11.76 ,"  1,984,000 ","  1,984,000 ",0.00%,  35.45 ,  35.45 
PUBLIC SERVICE ENTERPRISE GP,"  90,488 "," $ 50,425,190,000 ", $ 61.27 ,"  2,868,611 ","  2,868,611 ",0.01%,  315.40 ,  315.40 
RWE AG,  -   ," $ 33,269,047,737 ", $ 44.64 ,"  85,500,000 ","  107,600,000 ",0.00%,  -   ,  -   
SASOL LTD,  -   ," $ 18,610,776,214 "," $ 2,185.74 ","  63,571,398 ","  101,128,398 ",0.00%,  -   ,  -   
SCHLUMBERGER LTD,"  175,475 "," $ 86,248,200,000 ", $ 53.46 ,"  1,884,000 ","  36,733,000 ",0.01%,  204.92 ,"  3,995.31 "
SECURE ENERGY SERVICES INC,  -   ," $ 2,358,931,282 ", $ 5.19 ,"  238,196 ","  238,196 ",0.00%,  -   ,  -   
SEMPRA,"  60,686 "," $ 80,593,561,000 ", $ 77.27 ,"  7,428,409 ","  74,077,706 ",0.01%,  432.21 ,"  4,310.09 "
SHELL PLC,"  9,761,556 "," $ 241,953,060,700 "," $ 2,326.00 ","  59,000,000 ","  1,262,750,000 ",9.38%,"  5,536,682.91 ","  118,499,090.58 "
SOUTHERN CO/THE,"  76,439 "," $ 139,821,590,000 ", $ 71.41 ,"  85,111,461 ","  123,629,262 ",0.00%,"  3,322.67 ","  4,826.38 "
SOUTHWESTERN ENERGY CO,"  7,404 "," $ 10,951,595,700 ", $ 5.85 ,"  1,287,610 ","  1,287,610 ",0.00%,  5.09 ,  5.09 
SUNCOR ENERGY INC,"  16,652,604 "," $ 52,499,482,930 ", $ 31.72 ,"  34,875,881 ","  177,875,881 ",1.01%,"  350,915.41 ","  1,789,758.03 "
TAMARACK VALLEY ENERGY LTD,  -   ," $ 2,723,648,190 ", $ 3.29 ,"  534,280 ","  534,280 ",0.00%,  -   ,  -   
TARGA RESOURCES CORP,"  6,608 "," $ 30,291,003,800 ", $ 73.50 ,"  11,700,000 ","  44,300,000 ",0.00%,  187.60 ,  710.31 
TC ENERGY CORP,"  13,756,448 "," $ 85,443,971,898 ", $ 39.87 ,"  23,246,029 ","  26,764,869 ",0.64%,"  149,208.48 ","  171,794.73 "
TECK RESOURCES LTD-CLS B,"  4,084,274 "," $ 24,523,739,981 ", $ 37.83 ,"  2,932,000 ","  72,355,000 ",0.63%,"  18,472.20 ","  455,851.35 "
TOTALENERGIES SE,  -   ," $ 173,138,722,900 ", $ 58.65 ,"  39,360,000 ","  488,360,000 ",0.00%,  -   ,  -   
TOURMALINE OIL CORP,"  388,345 "," $ 17,554,291,766 ", $ 50.46 ,"  3,012,770 ","  3,012,770 ",0.11%,"  3,363.06 ","  3,363.06 "
TRANSALTA CORP,"  3,228,504 "," $ 5,629,179,237 ", $ 8.94 ,"  10,247,622 ","  13,871,592 ",0.51%,"  52,566.67 ","  71,156.35 "
VALERO ENERGY CORP,"  27,445 "," $ 56,975,238,600 ", $ 126.86 ,"  32,328,000 ","  32,328,000 ",0.01%,"  1,975.52 ","  1,975.52 "
VERMILION ENERGY INC,"  1,835,984 "," $ 3,716,128,766 ", $ 17.70 ,"  824,207 ","  12,506,707 ",0.87%,"  7,208.91 ","  109,389.62 "
VISTA ENERGY SAB DE CV,  -   ," $ 89,076,178 ", $ 15.86 ,  -   ,  -   ,0.00%,  -   ,  -   
VISTRA CORP,"  35,825 "," $ 23,207,313,000 ", $ 23.20 ,"  95,005,240 ","  97,366,670 ",0.00%,"  3,402.49 ","  3,487.06 "
WEC ENERGY GROUP INC,"  23,421 "," $ 47,109,841,600 ", $ 93.76 ,"  19,102,000 ","  19,102,000 ",0.00%,  890.41 ,  890.41 
WHITECAP RESOURCES INC,  -   ," $ 6,212,073,047 ", $ 7.93 ,"  2,057,232 ","  2,057,232 ",0.00%,  -   ,  -   
WILLIAMS COS INC,"  184,877 "," $ 65,242,200,000 ", $ 32.90 ,"  13,871,330 ","  35,989,330 ",0.01%,"  1,293.21 ","  3,355.24 "
WOODSIDE ENERGY GROUP LTD,  -   ," $ 32,190,679,522 ", $ 24.15 ,"  9,573,200 ","  93,398,200 ",0.00%,  -   ,  -   
XCEL ENERGY INC,"  78,572 "," $ 64,451,914,800 ", $ 70.11 ,"  38,700,000 ","  62,960,000 ",0.01%,"  3,307.68 ","  5,381.17 "
,,,,,,,,
,,,,"  1,982,995,790 ","  10,055,113,056 ",,"  6,759,365.51 ","  125,276,540.70 "
,,,,,,,,
,,,,,,,"  6,759,365.00 ","  125,276,540.00 "
,,,,,,Difference,- 0.51 ,- 0.70 
