Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
ECOPETROL SA,  -   ," $ 46,821,436,789 ", $ 0.50 ,"  13,460,534 ","  166,908,534 ",0.00%,  -   ,  -   
EMERA INC,"  13,073,563 "," $ 25,260,232,900 ", $ 38.22 ,"  14,925,227 ","  23,735,997 ",1.98%,"  295,239.78 ","  469,527.90 "
ENBRIDGE INC,"  135,687,444 "," $ 146,572,060,272 ", $ 39.11 ,"  14,408,000 ","  68,508,602 ",3.62%,"  521,707.53 ","  2,480,667.23 "
ENEL SPA,"  989,139 "," $ 148,452,978,614 ", $ 5.40 ,"  57,089,658 ","  132,889,455 ",0.00%,"  2,053.46 ","  4,779.91 "
ENERFLEX LTD,"  994,389 "," $ 1,688,584,050 ", $ 6.31 ,"  30,700 ","  3,175,700 ",0.37%,  114.03 ,"  11,795.54 "
ENERGY TRANSFER LP,"  3,302,313 "," $ 73,678,255,672 ", $ 8.77 ,  -   ,  -   ,0.04%,  -   ,  -   
ENERPLUS CORP,"  9,041,999 "," $ 3,011,580,869 ", $ 17.65 ,"  962,453 ","  962,520 ",5.30%,"  51,007.53 ","  51,011.08 "
ENI SPA,"  179,573 "," $ 62,574,576,119 ", $ 14.26 ,"  40,182,973 ","  219,609,973 ",0.00%,"  1,644.27 ","  8,986.34 "
ENTERPRISE PRODUCTS PARTNERS,"  3,158,909 "," $ 82,329,849,100 ", $ 24.12 ,"  12,000,000 ","  12,000,000 ",0.09%,"  11,105.51 ","  11,105.51 "
EOG RESOURCES INC,"  3,599,091 "," $ 76,104,447,600 ", $ 129.52 ,"  5,450,443 ","  115,741,443 ",0.61%,"  33,385.00 ","  708,938.43 "
EQT CORP,"  626,284 "," $ 16,669,405,300 ", $ 33.83 ,"  702,985 ","  101,720,985 ",0.13%,  893.51 ,"  129,289.65 "
EQUINOR ASA,"  18,607,854 "," $ 97,317,096,800 ", $ 351.80 ,"  11,500,000 ","  254,550,000 ",6.73%,"  773,572.14 ","  17,122,851.17 "
EQUITRANS MIDSTREAM CORP,"  257,386 "," $ 10,999,079,700 ", $ 6.70 ,"  2,356,195 ","  2,356,195 ",0.02%,  369.42 ,  369.42 
EXXON MOBIL CORP,"  15,882,186 "," $ 474,820,600,000 ", $ 110.30 ,"  105,000,000 ","  825,000,000 ",0.37%,"  387,387.44 ","  3,043,758.46 "
FIRSTENERGY CORP,"  2,206,490 "," $ 46,215,171,300 ", $ 41.94 ,"  17,410,250 ","  49,240,650 ",0.20%,"  34,861.88 ","  98,598.34 "
FORTIS INC,"  32,275,590 "," $ 43,128,768,173 ", $ 40.02 ,"  8,927,000 ","  116,697,000 ",2.99%,"  267,324.42 ","  3,494,562.30 "
FRANCO-NEVADA CORP,"  4,150,157 "," $ 18,449,735,339 ", $ 136.32 ,  50 ,  134 ,3.07%,  1.53 ,  4.11 
FREEHOLD ROYALTIES LTD,"  84,539 "," $ 1,878,026,458 ", $ 11.69 ,  -   ,  -   ,0.05%,  -   ,  -   
GALP ENERGIA SGPS SA,"  12,522 "," $ 15,059,101,521 ", $ 13.53 ,"  3,498,017 ","  50,343,318 ",0.00%,  39.36 ,  566.53 
GLENCORE PLC,"  697,781 "," $ 107,969,709,600 ", $ 552.40 ,"  27,037,000 ","  369,137,000 ",0.36%,"  96,522.68 ","  1,317,827.16 "
HALLIBURTON CO,"  1,228,722 "," $ 42,260,700,000 ", $ 39.35 ,"  3,727,034 ","  3,904,376 ",0.11%,"  4,264.08 ","  4,466.97 "
HESS CORP,"  1,283,661 "," $ 50,727,002,900 ", $ 141.82 ,"  2,666,933 ","  50,912,535 ",0.36%,"  9,571.08 ","  182,714.64 "
IMPERIAL OIL LTD,"  10,155,689 "," $ 28,938,255,338 ", $ 48.71 ,"  14,930,000 ","  14,930,000 ",1.71%,"  255,210.55 ","  255,210.55 "
INFRAESTRUCTURA ENERGETICA N,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
INTER PIPELINE LTD,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
ITOCHU CORP,"  1,764,911 "," $ 75,878,056,062 ", $ 31.63 ,"  2,263,692 ","  4,731,172 ",0.07%,"  1,665.48 ","  3,480.89 "
KEYERA CORP,"  20,821,715 "," $ 7,891,236,074 ", $ 21.85 ,"  1,733,232 ","  1,735,962 ",5.77%,"  99,944.77 ","  100,102.19 "
KINDER MORGAN INC,"  6,527,849 "," $ 73,340,083,800 ", $ 18.08 ,"  18,000,000 ","  18,000,000 ",0.16%,"  28,966.74 ","  28,966.74 "
MARATHON OIL CORP,"  1,547,902 "," $ 22,880,310,000 ", $ 27.07 ,"  3,360,000 ","  45,410,000 ",0.18%,"  6,153.31 ","  83,161.31 "
MARATHON PETROLEUM CORP,"  3,218,332 "," $ 76,352,060,000 ", $ 116.39 ,"  40,400,000 ","  506,400,000 ",0.49%,"  198,201.58 ","  2,484,388.15 "
MEG ENERGY CORP,"  3,397,673 "," $ 5,258,470,523 ", $ 13.92 ,"  2,368,463 ","  2,384,503 ",0.90%,"  21,305.27 ","  21,449.56 "
NRG ENERGY INC,"  663,393 "," $ 15,176,632,000 ", $ 31.82 ,"  37,559,433 ","  37,561,865 ",0.14%,"  52,241.39 ","  52,244.77 "
NUVISTA ENERGY LTD,"  2,106,393 "," $ 2,236,125,334 ", $ 9.22 ,"  384,381 ","  755,312 ",0.87%,"  3,337.39 ","  6,558.00 "
OBSIDIAN ENERGY LTD,"  190,748 "," $ 717,018,885 ", $ 6.63 ,"  395,426 ","  395,426 ",0.18%,  697.68 ,  697.68 
OCCIDENTAL PETROLEUM CORP,"  919,197 "," $ 86,606,114,900 ", $ 62.99 ,"  22,500,000 ","  239,500,000 ",0.07%,"  15,042.30 ","  160,116.90 "
OGE ENERGY CORP,"  129,685 "," $ 12,413,210,000 ", $ 39.55 ,"  10,125,700 ","  18,749,700 ",0.04%,"  4,183.86 ","  7,747.23 "
ONEOK INC,"  835,693 "," $ 42,881,524,600 ", $ 65.70 ,"  6,600,000 ","  70,900,000 ",0.13%,"  8,450.57 ","  90,779.58 "
OVINTIV INC,"  443,015 "," $ 16,947,447,000 ", $ 50.71 ,"  3,738,714 ","  3,738,714 ",0.13%,"  4,955.99 ","  4,955.99 "
PAMPA ENERGIA SA-SPON ADR,"  32,892 "," $ 762,848,269,900 ", $ 31.94 ,"  7,809,890 ","  7,809,890 ",0.00%,  10.76 ,  10.76 
PARAMOUNT RESOURCES LTD -A,"  273,357 "," $ 3,132,817,520 ", $ 21.15 ,"  560,451 ","  560,451 ",0.18%,"  1,034.41 ","  1,034.41 "
PARKLAND CORP,"  2,672,476 "," $ 8,516,333,237 ", $ 21.94 ,"  616,420 ","  616,420 ",0.69%,"  4,244.51 ","  4,244.51 "
PEYTO EXPLORATION & DEV CORP,"  381,202 "," $ 2,406,710,113 ", $ 10.24 ,"  713,781 ","  713,781 ",0.16%,"  1,158.14 ","  1,158.14 "
PEMBINA PIPELINE CORP,"  40,025,601 "," $ 28,162,846,184 ", $ 33.94 ,"  4,139,710 ","  5,873,170 ",4.82%,"  199,709.27 ","  283,335.42 "
PETROBRAS - PETROLEO BRAS-PR,"  93,159 "," $ 101,761,754,548 ", $ 4.64 ,"  47,902,355 ","  491,186,355 ",0.00%,  203.32 ,"  2,084.86 "
P G & E CORP,"  676,473 "," $ 85,165,383,300 ", $ 16.26 ,"  4,049,399 ","  45,554,598 ",0.01%,  523.00 ,"  5,883.56 "
PHILLIPS 66,"  1,148,237 "," $ 65,181,041,200 ", $ 104.08 ,"  31,200,000 ","  385,200,000 ",0.18%,"  57,204.75 ","  706,258.69 "
PIONEER NATURAL RESOURCES CO,"  619,425 "," $ 58,662,262,000 ", $ 228.39 ,"  3,350,144 ","  165,350,144 ",0.24%,"  8,079.24 ","  398,760.00 "
PLAINS ALL AMER PIPELINE LP,"  431,459 "," $ 18,928,648,900 ", $ 11.76 ,"  1,984,000 ","  1,984,000 ",0.03%,  531.83 ,  531.83 
PUBLIC SERVICE ENTERPRISE GP,"  575,326 "," $ 50,425,190,000 ", $ 61.27 ,"  2,868,611 ","  2,868,611 ",0.07%,"  2,005.33 ","  2,005.33 "
RWE AG,"  19,235 "," $ 33,269,047,737 ", $ 44.64 ,"  85,500,000 ","  107,600,000 ",0.00%,"  2,206.48 ","  2,776.81 "
SASOL LTD,"  18,161 "," $ 18,610,776,214 "," $ 2,185.74 ","  63,571,398 ","  101,128,398 ",0.21%,"  135,592.37 ","  215,698.25 "
SCHLUMBERGER LTD,"  3,984,581 "," $ 86,248,200,000 ", $ 53.46 ,"  1,884,000 ","  36,733,000 ",0.25%,"  4,653.10 ","  90,723.12 "
SECURE ENERGY SERVICES INC,"  1,324,822 "," $ 2,358,931,282 ", $ 5.19 ,"  238,196 ","  238,196 ",0.29%,  694.57 ,  694.57 
SEMPRA,"  1,642,770 "," $ 80,593,561,000 ", $ 77.27 ,"  7,428,409 ","  74,077,706 ",0.16%,"  11,699.93 ","  116,674.21 "
SHELL PLC,"  10,327,464 "," $ 241,953,060,700 "," $ 2,326.00 ","  59,000,000 ","  1,262,750,000 ",9.93%,"  5,857,661.77 ","  125,368,854.31 "
SOUTHERN CO/THE,"  3,397,802 "," $ 139,821,590,000 ", $ 71.41 ,"  85,111,461 ","  123,629,262 ",0.17%,"  147,696.74 ","  214,537.96 "
SOUTHWESTERN ENERGY CO,"  1,262,040 "," $ 10,951,595,700 ", $ 5.85 ,"  1,287,610 ","  1,287,610 ",0.07%,  868.03 ,  868.03 
SUNCOR ENERGY INC,"  71,504,749 "," $ 52,499,482,930 ", $ 31.72 ,"  34,875,881 ","  177,875,881 ",4.32%,"  1,506,798.48 ","  7,685,056.27 "
TAMARACK VALLEY ENERGY LTD,"  1,869,543 "," $ 2,723,648,190 ", $ 3.29 ,"  534,280 ","  534,280 ",0.23%,"  1,208.02 ","  1,208.02 "
TARGA RESOURCES CORP,"  242,501 "," $ 30,291,003,800 ", $ 73.50 ,"  11,700,000 ","  44,300,000 ",0.06%,"  6,884.51 ","  26,066.99 "
TC ENERGY CORP,"  93,138,133 "," $ 85,443,971,898 ", $ 39.87 ,"  23,246,029 ","  26,764,869 ",4.35%,"  1,010,217.10 ","  1,163,137.51 "
TECK RESOURCES LTD-CLS B,"  19,989,285 "," $ 24,523,739,981 ", $ 37.83 ,"  2,932,000 ","  72,355,000 ",3.08%,"  90,406.79 ","  2,231,031.17 "
TOTALENERGIES SE,"  4,780,782 "," $ 173,138,722,900 ", $ 58.65 ,"  39,360,000 ","  488,360,000 ",0.16%,"  63,742.32 ","  790,884.08 "
TOURMALINE OIL CORP,"  5,711,467 "," $ 17,554,291,766 ", $ 50.46 ,"  3,012,770 ","  3,012,770 ",1.64%,"  49,461.26 ","  49,461.26 "
TRANSALTA CORP,"  38,041,959 "," $ 5,629,179,237 ", $ 8.94 ,"  10,247,622 ","  13,871,592 ",6.04%,"  619,401.13 ","  838,446.21 "
VALERO ENERGY CORP,"  1,076,752 "," $ 56,975,238,600 ", $ 126.86 ,"  32,328,000 ","  32,328,000 ",0.24%,"  77,505.60 ","  77,505.60 "
VERMILION ENERGY INC,"  1,822,856 "," $ 3,716,128,766 ", $ 17.70 ,"  824,207 ","  12,506,707 ",0.87%,"  7,157.36 ","  108,607.44 "
VISTA ENERGY SAB DE CV,  -   ," $ 89,076,178 ", $ 15.86 ,  -   ,  -   ,0.00%,  -   ,  -   
VISTRA CORP,"  398,075 "," $ 23,207,313,000 ", $ 23.20 ,"  95,005,240 ","  97,366,670 ",0.04%,"  37,807.29 ","  38,747.02 "
WEC ENERGY GROUP INC,"  543,192 "," $ 47,109,841,600 ", $ 93.76 ,"  19,102,000 ","  19,102,000 ",0.11%,"  20,650.86 ","  20,650.86 "
WHITECAP RESOURCES INC,"  4,403,349 "," $ 6,212,073,047 ", $ 7.93 ,"  2,057,232 ","  2,057,232 ",0.56%,"  11,567.01 ","  11,567.01 "
WILLIAMS COS INC,"  18,413,898 "," $ 65,242,200,000 ", $ 32.90 ,"  13,871,330 ","  35,989,330 ",0.93%,"  128,804.53 ","  334,184.88 "
WOODSIDE ENERGY GROUP LTD,"  1,620,784 "," $ 32,190,679,522 ", $ 24.15 ,"  9,573,200 ","  93,398,200 ",0.12%,"  11,638.33 ","  113,546.04 "
XCEL ENERGY INC,"  8,670,058 "," $ 64,451,914,800 ", $ 70.11 ,"  38,700,000 ","  62,960,000 ",0.94%,"  364,986.76 ","  593,787.25 "
,,,,,,,,
,,,,"  1,982,995,790 ","  10,055,113,056 ",,"  18,375,239.31 ","  207,840,894.59 "
,,,,,,,,
,,,,,,,"  18,375,239.00 ","  207,840,895.00 "
,,,,,,,,
,,,,,,Difference,- 0.31 ,  0.41 
