Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
BAYTEX ENERGY CORP,  -   ," $ 3,135,105,142 ", $ 4.49 ,"  1,091,032 ","  1,091,032 ",0.00%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL A,  1 ," $ 329,576,914,200 "," $ 468,711.00 ",  -   ,  -   ,0.00%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL B,  -   ," $ 329,576,914,200 ", $ 308.90 ,  -   ,  -   ,0.00%,  -   ,  -   
BERRY CORP,  -   ," $ 955,625,000 ", $ 8.00 ,  -   ,  -   ,0.00%,  -   ,  -   
BIRCHCLIFF ENERGY LTD,  -   ," $ 1,960,382,990 ", $ 6.96 ,"  382,823 ","  382,823 ",0.00%,  -   ,  -   
BP PLC,  -   ," $ 144,148,168,500 ", $ 474.90 ,"  32,500,000 ","  339,200,000 ",0.00%,  -   ,  -   
CANADIAN NATURAL RESOURCES,  -   ," $ 69,780,224,625 ", $ 55.53 ,"  26,335,750 ","  150,449,750 ",0.00%,  -   ,  -   
CARLYLE GROUP INC/THE,  -   ," $ 12,616,191,700 ", $ 29.84 ,"  6,012 ","  20,901 ",0.00%,  -   ,  -   
CENOVUS ENERGY INC,  -   ," $ 42,692,149,004 ", $ 19.40 ,"  18,100,000 ","  161,700,000 ",0.00%,  -   ,  -   
CENTERPOINT ENERGY INC,  -   ," $ 36,387,773,600 ", $ 29.99 ,"  4,891,379 ","  31,301,680 ",0.00%,  -   ,  -   
CHENIERE ENERGY INC,  -   ," $ 66,237,180,000 ", $ 149.96 ,"  11,168,945 ","  11,168,945 ",0.00%,  -   ,  -   
CHESAPEAKE ENERGY CORP,  -   ," $ 15,795,063,400 ", $ 94.37 ,"  1,729,353 ","  83,729,353 ",0.00%,  -   ,  -   
CHEVRON CORP,"  314,000 "," $ 354,191,181,400 ", $ 179.49 ,"  53,000,000 ","  645,000,000 ",0.02%,"  8,433.50 ","  102,634.15 "
CIVITAS RESOURCES INC,  -   ," $ 4,581,067,200 ", $ 57.93 ,"  1,250,800 ","  1,250,800 ",0.00%,  -   ,  -   
CMS ENERGY CORP,  -   ," $ 33,410,029,000 ", $ 63.33 ,"  17,687,946 ","  42,502,046 ",0.00%,  -   ,  -   
CONOCOPHILLIPS,  -   ," $ 112,527,312,228 ", $ 87.15 ,"  16,014,000 ","  251,014,000 ",0.00%,  -   ,  -   
CONTINENTAL RESOURCES INC/OK,  -   , $ -   , $ 54.85 ,"  3,350,000 ","  3,350,000 ",,  -   ,  -   
CRESCENT ENERGY INC-A,  -   ," $ 3,273,949,600 ", $ 11.99 ,"  1,981,075 ","  1,981,075 ",0.00%,  -   ,  -   
CRESCENT POINT ENERGY CORP,  -   ," $ 4,872,505,924 ", $ 7.13 ,"  1,305,425 ","  1,305,425 ",0.00%,  -   ,  -   
DIAMONDBACK ENERGY INC,  -   ," $ 23,169,150,950 ", $ 101.02 ,"  2,161,367 ","  47,251,969 ",0.00%,  -   ,  -   
DOMINION ENERGY INC,  -   ," $ 69,988,498,518 ", $ 45.29 ,"  33,645,033 ","  62,924,334 ",0.00%,  -   ,  -   
DTE ENERGY COMPANY,  -   ," $ 32,030,676,988 ", $ 86.80 ,"  27,278,000 ","  53,475,000 ",0.00%,  -   ,  -   
DUKE ENERGY CORP,  -   ," $ 118,331,886,647 ", $ 76.06 ,"  79,220,000 ","  117,808,000 ",0.00%,  -   ,  -   
ECOPETROL SA,  -   ," $ 46,821,436,789 ", $ 0.50 ,"  13,460,534 ","  166,908,534 ",0.00%,  -   ,  -   
EMERA INC,  -   ," $ 25,260,232,900 ", $ 38.22 ,"  14,925,227 ","  23,735,997 ",0.00%,  -   ,  -   
ENBRIDGE INC,  -   ," $ 146,572,060,272 ", $ 39.11 ,"  14,408,000 ","  68,508,602 ",0.00%,  -   ,  -   
ENEL SPA,  -   ," $ 148,452,978,614 ", $ 5.40 ,"  57,089,658 ","  132,889,455 ",0.00%,  -   ,  -   
ENERFLEX LTD,  -   ," $ 1,688,584,050 ", $ 6.31 ,"  30,700 ","  3,175,700 ",0.00%,  -   ,  -   
ENERGY TRANSFER LP,  -   ," $ 73,678,255,672 ", $ 8.77 ,  -   ,  -   ,0.00%,  -   ,  -   
ENERPLUS CORP,  -   ," $ 3,011,580,869 ", $ 17.65 ,"  962,453 ","  962,520 ",0.00%,  -   ,  -   
ENI SPA,  -   ," $ 62,574,576,119 ", $ 14.26 ,"  40,182,973 ","  219,609,973 ",0.00%,  -   ,  -   
ENTERPRISE PRODUCTS PARTNERS,  -   ," $ 82,329,849,100 ", $ 24.12 ,"  12,000,000 ","  12,000,000 ",0.00%,  -   ,  -   
EOG RESOURCES INC,"  2,000 "," $ 76,104,447,600 ", $ 129.52 ,"  5,450,443 ","  115,741,443 ",0.00%,  18.55 ,  393.95 
EQT CORP,  -   ," $ 16,669,405,300 ", $ 33.83 ,"  702,985 ","  101,720,985 ",0.00%,  -   ,  -   
EQUINOR ASA,  -   ," $ 97,317,096,800 ", $ 351.80 ,"  11,500,000 ","  254,550,000 ",0.00%,  -   ,  -   
EQUITRANS MIDSTREAM CORP,  -   ," $ 10,999,079,700 ", $ 6.70 ,"  2,356,195 ","  2,356,195 ",0.00%,  -   ,  -   
EXXON MOBIL CORP,  -   ," $ 474,820,600,000 ", $ 110.30 ,"  105,000,000 ","  825,000,000 ",0.00%,  -   ,  -   
FIRSTENERGY CORP,  -   ," $ 46,215,171,300 ", $ 41.94 ,"  17,410,250 ","  49,240,650 ",0.00%,  -   ,  -   
FORTIS INC,  -   ," $ 43,128,768,173 ", $ 40.02 ,"  8,927,000 ","  116,697,000 ",0.00%,  -   ,  -   
FRANCO-NEVADA CORP,  -   ," $ 18,449,735,339 ", $ 136.32 ,  50 ,  134 ,0.00%,  -   ,  -   
FREEHOLD ROYALTIES LTD,  -   ," $ 1,878,026,458 ", $ 11.69 ,  -   ,  -   ,0.00%,  -   ,  -   
GALP ENERGIA SGPS SA,  -   ," $ 15,059,101,521 ", $ 13.53 ,"  3,498,017 ","  50,343,318 ",0.00%,  -   ,  -   
GLENCORE PLC,  -   ," $ 107,969,709,600 ", $ 552.40 ,"  27,037,000 ","  369,137,000 ",0.00%,  -   ,  -   
HALLIBURTON CO,  -   ," $ 42,260,700,000 ", $ 39.35 ,"  3,727,034 ","  3,904,376 ",0.00%,  -   ,  -   
HESS CORP,  -   ," $ 50,727,002,900 ", $ 141.82 ,"  2,666,933 ","  50,912,535 ",0.00%,  -   ,  -   
IMPERIAL OIL LTD,  -   ," $ 28,938,255,338 ", $ 48.71 ,"  14,930,000 ","  14,930,000 ",0.00%,  -   ,  -   
INFRAESTRUCTURA ENERGETICA N,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
INTER PIPELINE LTD,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
ITOCHU CORP,  -   ," $ 75,878,056,062 ", $ 31.63 ,"  2,263,692 ","  4,731,172 ",0.00%,  -   ,  -   
KEYERA CORP,  -   ," $ 7,891,236,074 ", $ 21.85 ,"  1,733,232 ","  1,735,962 ",0.00%,  -   ,  -   
KINDER MORGAN INC,  -   ," $ 73,340,083,800 ", $ 18.08 ,"  18,000,000 ","  18,000,000 ",0.00%,  -   ,  -   
MARATHON OIL CORP,  -   ," $ 22,880,310,000 ", $ 27.07 ,"  3,360,000 ","  45,410,000 ",0.00%,  -   ,  -   
MARATHON PETROLEUM CORP,  -   ," $ 76,352,060,000 ", $ 116.39 ,"  40,400,000 ","  506,400,000 ",0.00%,  -   ,  -   
MEG ENERGY CORP,  -   ," $ 5,258,470,523 ", $ 13.92 ,"  2,368,463 ","  2,384,503 ",0.00%,  -   ,  -   
NRG ENERGY INC,  -   ," $ 15,176,632,000 ", $ 31.82 ,"  37,559,433 ","  37,561,865 ",0.00%,  -   ,  -   
NUVISTA ENERGY LTD,  -   ," $ 2,236,125,334 ", $ 9.22 ,"  384,381 ","  755,312 ",0.00%,  -   ,  -   
OBSIDIAN ENERGY LTD,  -   ," $ 717,018,885 ", $ 6.63 ,"  395,426 ","  395,426 ",0.00%,  -   ,  -   
OCCIDENTAL PETROLEUM CORP,"  921,500 "," $ 86,606,114,900 ", $ 62.99 ,"  22,500,000 ","  239,500,000 ",0.07%,"  15,079.98 ","  160,518.06 "
OGE ENERGY CORP,  -   ," $ 12,413,210,000 ", $ 39.55 ,"  10,125,700 ","  18,749,700 ",0.00%,  -   ,  -   
ONEOK INC,  -   ," $ 42,881,524,600 ", $ 65.70 ,"  6,600,000 ","  70,900,000 ",0.00%,  -   ,  -   
OVINTIV INC,  -   ," $ 16,947,447,000 ", $ 50.71 ,"  3,738,714 ","  3,738,714 ",0.00%,  -   ,  -   
PAMPA ENERGIA SA-SPON ADR,  -   ," $ 762,848,269,900 ", $ 31.94 ,"  7,809,890 ","  7,809,890 ",0.00%,  -   ,  -   
PARAMOUNT RESOURCES LTD -A,  -   ," $ 3,132,817,520 ", $ 21.15 ,"  560,451 ","  560,451 ",0.00%,  -   ,  -   
PARKLAND CORP,  -   ," $ 8,516,333,237 ", $ 21.94 ,"  616,420 ","  616,420 ",0.00%,  -   ,  -   
PEYTO EXPLORATION & DEV CORP,  -   ," $ 2,406,710,113 ", $ 10.24 ,"  713,781 ","  713,781 ",0.00%,  -   ,  -   
PEMBINA PIPELINE CORP,  -   ," $ 28,162,846,184 ", $ 33.94 ,"  4,139,710 ","  5,873,170 ",0.00%,  -   ,  -   
PETROBRAS - PETROLEO BRAS-PR,  -   ," $ 101,761,754,548 ", $ 4.64 ,"  47,902,355 ","  491,186,355 ",0.00%,  -   ,  -   
P G & E CORP,  -   ," $ 85,165,383,300 ", $ 16.26 ,"  4,049,399 ","  45,554,598 ",0.00%,  -   ,  -   
PHILLIPS 66,  -   ," $ 65,181,041,200 ", $ 104.08 ,"  31,200,000 ","  385,200,000 ",0.00%,  -   ,  -   
PIONEER NATURAL RESOURCES CO,"  1,000 "," $ 58,662,262,000 ", $ 228.39 ,"  3,350,144 ","  165,350,144 ",0.00%,  13.04 ,  643.76 
PLAINS ALL AMER PIPELINE LP,  -   ," $ 18,928,648,900 ", $ 11.76 ,"  1,984,000 ","  1,984,000 ",0.00%,  -   ,  -   
PUBLIC SERVICE ENTERPRISE GP,  -   ," $ 50,425,190,000 ", $ 61.27 ,"  2,868,611 ","  2,868,611 ",0.00%,  -   ,  -   
RWE AG,  -   ," $ 33,269,047,737 ", $ 44.64 ,"  85,500,000 ","  107,600,000 ",0.00%,  -   ,  -   
SASOL LTD,  -   ," $ 18,610,776,214 "," $ 2,185.74 ","  63,571,398 ","  101,128,398 ",0.00%,  -   ,  -   
SCHLUMBERGER LTD,  -   ," $ 86,248,200,000 ", $ 53.46 ,"  1,884,000 ","  36,733,000 ",0.00%,  -   ,  -   
SECURE ENERGY SERVICES INC,  -   ," $ 2,358,931,282 ", $ 5.19 ,"  238,196 ","  238,196 ",0.00%,  -   ,  -   
SEMPRA,  -   ," $ 80,593,561,000 ", $ 77.27 ,"  7,428,409 ","  74,077,706 ",0.00%,  -   ,  -   
SHELL PLC,  -   ," $ 241,953,060,700 "," $ 2,326.00 ","  59,000,000 ","  1,262,750,000 ",0.00%,  -   ,  -   
SOUTHERN CO/THE,  -   ," $ 139,821,590,000 ", $ 71.41 ,"  85,111,461 ","  123,629,262 ",0.00%,  -   ,  -   
SOUTHWESTERN ENERGY CO,  -   ," $ 10,951,595,700 ", $ 5.85 ,"  1,287,610 ","  1,287,610 ",0.00%,  -   ,  -   
SUNCOR ENERGY INC,  -   ," $ 52,499,482,930 ", $ 31.72 ,"  34,875,881 ","  177,875,881 ",0.00%,  -   ,  -   
TAMARACK VALLEY ENERGY LTD,  -   ," $ 2,723,648,190 ", $ 3.29 ,"  534,280 ","  534,280 ",0.00%,  -   ,  -   
TARGA RESOURCES CORP,  -   ," $ 30,291,003,800 ", $ 73.50 ,"  11,700,000 ","  44,300,000 ",0.00%,  -   ,  -   
TC ENERGY CORP,  -   ," $ 85,443,971,898 ", $ 39.87 ,"  23,246,029 ","  26,764,869 ",0.00%,  -   ,  -   
TECK RESOURCES LTD-CLS B,  -   ," $ 24,523,739,981 ", $ 37.83 ,"  2,932,000 ","  72,355,000 ",0.00%,  -   ,  -   
TOTALENERGIES SE,  -   ," $ 173,138,722,900 ", $ 58.65 ,"  39,360,000 ","  488,360,000 ",0.00%,  -   ,  -   
TOURMALINE OIL CORP,  -   ," $ 17,554,291,766 ", $ 50.46 ,"  3,012,770 ","  3,012,770 ",0.00%,  -   ,  -   
TRANSALTA CORP,  -   ," $ 5,629,179,237 ", $ 8.94 ,"  10,247,622 ","  13,871,592 ",0.00%,  -   ,  -   
VALERO ENERGY CORP,  -   ," $ 56,975,238,600 ", $ 126.86 ,"  32,328,000 ","  32,328,000 ",0.00%,  -   ,  -   
VERMILION ENERGY INC,  -   ," $ 3,716,128,766 ", $ 17.70 ,"  824,207 ","  12,506,707 ",0.00%,  -   ,  -   
VISTA ENERGY SAB DE CV,  -   ," $ 89,076,178 ", $ 15.86 ,  -   ,  -   ,0.00%,  -   ,  -   
VISTRA CORP,  -   ," $ 23,207,313,000 ", $ 23.20 ,"  95,005,240 ","  97,366,670 ",0.00%,  -   ,  -   
WEC ENERGY GROUP INC,  -   ," $ 47,109,841,600 ", $ 93.76 ,"  19,102,000 ","  19,102,000 ",0.00%,  -   ,  -   
WHITECAP RESOURCES INC,  -   ," $ 6,212,073,047 ", $ 7.93 ,"  2,057,232 ","  2,057,232 ",0.00%,  -   ,  -   
WILLIAMS COS INC,  -   ," $ 65,242,200,000 ", $ 32.90 ,"  13,871,330 ","  35,989,330 ",0.00%,  -   ,  -   
WOODSIDE ENERGY GROUP LTD,  -   ," $ 32,190,679,522 ", $ 24.15 ,"  9,573,200 ","  93,398,200 ",0.00%,  -   ,  -   
XCEL ENERGY INC,  -   ," $ 64,451,914,800 ", $ 70.11 ,"  38,700,000 ","  62,960,000 ",0.00%,  -   ,  -   
Grand Total,"  1,238,501 ",,,,,,,
,,,,"  1,982,995,790 ","  10,055,113,056 ",,"  23,545.08 ","  264,189.92 "
,,,,,,,,
,,,,,,,"  23,545.00 ","  264,190.00 "
,,,,,,Difference,- 0.08 ,  0.08 
