Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
PARAMOUNT RESOURCES LTD -A,"  17,412 "," $ 3,132,817,520 ", $ 21.15 ,"  560,451 ","  560,451 ",0.01%,  65.89 ,  65.89 
PARKLAND CORP,  -   ," $ 8,516,333,237 ", $ 21.94 ,"  616,420 ","  616,420 ",0.00%,  -   ,  -   
PEYTO EXPLORATION & DEV CORP,  -   ," $ 2,406,710,113 ", $ 10.24 ,"  713,781 ","  713,781 ",0.00%,  -   ,  -   
PEMBINA PIPELINE CORP,"  1,521,295 "," $ 28,162,846,184 ", $ 33.94 ,"  4,139,710 ","  5,873,170 ",0.18%,"  7,590.56 ","  10,769.03 "
PETROBRAS - PETROLEO BRAS-PR,  -   ," $ 101,761,754,548 ", $ 4.64 ,"  47,902,355 ","  491,186,355 ",0.00%,  -   ,  -   
P G & E CORP,  101 ," $ 85,165,383,300 ", $ 16.26 ,"  4,049,399 ","  45,554,598 ",0.00%,  0.08 ,  0.88 
PHILLIPS 66,"  268,546 "," $ 65,181,041,200 ", $ 104.08 ,"  31,200,000 ","  385,200,000 ",0.04%,"  13,378.87 ","  165,177.53 "
PIONEER NATURAL RESOURCES CO,  342 ," $ 58,662,262,000 ", $ 228.39 ,"  3,350,144 ","  165,350,144 ",0.00%,  4.46 ,  220.17 
PLAINS ALL AMER PIPELINE LP,  -   ," $ 18,928,648,900 ", $ 11.76 ,"  1,984,000 ","  1,984,000 ",0.00%,  -   ,  -   
POWER CORP OF CANADA,  -   ," $ 34,288,122,687 ", $ 23.52 ,"  27,299 ","  102,274 ",0.00%,  -   ,  -   
PUBLIC SECTOR PENSION INVEST,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
PUBLIC SERVICE ENTERPRISE GP,"  634,163 "," $ 50,425,190,000 ", $ 61.27 ,"  2,868,611 ","  2,868,611 ",0.08%,"  2,210.41 ","  2,210.41 "
ROYAL BANK OF CANADA,  -   , $ -   , $ 93.10 ,"  88,417 ","  105,836 ",,  -   ,  -   
RWE AG,  -   ," $ 33,269,047,737 ", $ 44.64 ,"  85,500,000 ","  107,600,000 ",0.00%,  -   ,  -   
SASOL LTD,  -   ," $ 18,610,776,214 "," $ 2,185.74 ","  63,571,398 ","  101,128,398 ",0.00%,  -   ,  -   
SCHLUMBERGER LTD,"  254,133 "," $ 86,248,200,000 ", $ 53.46 ,"  1,884,000 ","  36,733,000 ",0.02%,  296.77 ,"  5,786.24 "
SECURE ENERGY SERVICES INC,  -   ," $ 2,358,931,282 ", $ 5.19 ,"  238,196 ","  238,196 ",0.00%,  -   ,  -   
SEMPRA,"  164,746 "," $ 80,593,561,000 ", $ 77.27 ,"  7,428,409 ","  74,077,706 ",0.02%,"  1,173.33 ","  11,700.73 "
SHELL PLC,  -   ," $ 241,953,060,700 "," $ 2,326.00 ","  59,000,000 ","  1,262,750,000 ",0.00%,  -   ,  -   
SOUTHERN CO/THE,"  1,800,040 "," $ 139,821,590,000 ", $ 71.41 ,"  85,111,461 ","  123,629,262 ",0.09%,"  78,244.71 ","  113,654.92 "
SOUTHWESTERN ENERGY CO,"  464,495 "," $ 10,951,595,700 ", $ 5.85 ,"  1,287,610 ","  1,287,610 ",0.02%,  319.48 ,  319.48 
SUN LIFE FINANCIAL INC,  -   ," $ 25,713,848,448 ", $ 46.42 ,"  33,864 ","  65,632 ",0.00%,  -   ,  -   
SUNCOR ENERGY INC,"  1,872,445 "," $ 52,499,482,930 ", $ 31.72 ,"  34,875,881 ","  177,875,881 ",0.11%,"  39,457.48 ","  201,243.21 "
TAMARACK VALLEY ENERGY LTD,  -   ," $ 2,723,648,190 ", $ 3.29 ,"  534,280 ","  534,280 ",0.00%,  -   ,  -   
TARGA RESOURCES CORP,  -   ," $ 30,291,003,800 ", $ 73.50 ,"  11,700,000 ","  44,300,000 ",0.00%,  -   ,  -   
TC ENERGY CORP,"  15,774,185 "," $ 85,443,971,898 ", $ 39.87 ,"  23,246,029 ","  26,764,869 ",0.74%,"  171,093.74 ","  196,992.85 "
TECK RESOURCES LTD-CLS B,"  1,148,200 "," $ 24,523,739,981 ", $ 37.83 ,"  2,932,000 ","  72,355,000 ",0.18%,"  5,193.04 ","  128,152.16 "
TORONTO-DOMINION BANK,  -   , $ -   , $ 63.97 ,"  123,322 ","  1,295,932 ",,  -   ,  -   
TOTALENERGIES SE,  -   ," $ 173,138,722,900 ", $ 58.65 ,"  39,360,000 ","  488,360,000 ",0.00%,  -   ,  -   
TOURMALINE OIL CORP,  -   ," $ 17,554,291,766 ", $ 50.46 ,"  3,012,770 ","  3,012,770 ",0.00%,  -   ,  -   
TRANSALTA CORP,  -   ," $ 5,629,179,237 ", $ 8.94 ,"  10,247,622 ","  13,871,592 ",0.00%,  -   ,  -   
TUNDRA OIL & GAS LTD,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
VALERO ENERGY CORP,"  134,130 "," $ 56,975,238,600 ", $ 126.86 ,"  32,328,000 ","  32,328,000 ",0.03%,"  9,654.80 ","  9,654.80 "
VERMILION ENERGY INC,"  117,728 "," $ 3,716,128,766 ", $ 17.70 ,"  824,207 ","  12,506,707 ",0.06%,  462.25 ,"  7,014.34 "
VISTA ENERGY SAB DE CV,"  942,200 "," $ 89,076,178 ", $ 15.86 ,  -   ,  -   ,16.78%,  -   ,  -   
VISTRA CORP,"  109,400 "," $ 23,207,313,000 ", $ 23.20 ,"  95,005,240 ","  97,366,670 ",0.01%,"  10,390.30 ","  10,648.56 "
VITOL HOLDING BV,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
WEC ENERGY GROUP INC,"  383,394 "," $ 47,109,841,600 ", $ 93.76 ,"  19,102,000 ","  19,102,000 ",0.08%,"  14,575.72 ","  14,575.72 "
WHITECAP RESOURCES INC,  -   ," $ 6,212,073,047 ", $ 7.93 ,"  2,057,232 ","  2,057,232 ",0.00%,  -   ,  -   
WILLIAMS COS INC,  -   ," $ 65,242,200,000 ", $ 32.90 ,"  13,871,330 ","  35,989,330 ",0.00%,  -   ,  -   
WOODSIDE ENERGY GROUP LTD,  -   ," $ 32,190,679,522 ", $ 24.15 ,"  9,573,200 ","  93,398,200 ",0.00%,  -   ,  -   
XCEL ENERGY INC,"  1,450,990 "," $ 64,451,914,800 ", $ 70.11 ,"  38,700,000 ","  62,960,000 ",0.16%,"  61,082.88 ","  99,374.12 "
,,,,,,,,
,,,,"  2,040,089,444 ","  10,707,278,545 ",,"  1,799,796.72 ","  6,293,308.43 "
,,,,,,,,
,,,,,,Report,"  1,799,797.00 ","  6,293,308.00 "
,,,,,,Difference,  0.28 ,- 0.43 
