Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
EQUITRANS MIDSTREAM CORP,"  3,400 "," $ 10,999,079,700 ", $ 6.70 ,"  2,356,195 ","  2,356,195 ",0.00%,  4.88 ,  4.88 
EXXON MOBIL CORP,"  5,164,891 "," $ 474,820,600,000 ", $ 110.30 ,"  105,000,000 ","  825,000,000 ",0.12%,"  125,978.50 ","  989,831.04 "
FIRSTENERGY CORP,"  481,460 "," $ 46,215,171,300 ", $ 41.94 ,"  17,410,250 ","  49,240,650 ",0.04%,"  7,606.92 ","  21,514.33 "
FORTIS INC,"  23,755,679 "," $ 43,128,768,173 ", $ 40.02 ,"  8,927,000 ","  116,697,000 ",2.20%,"  196,757.77 ","  2,572,089.31 "
FRANCO-NEVADA CORP,"  2,483,847 "," $ 18,449,735,339 ", $ 136.32 ,  50 ,  134 ,1.84%,  0.92 ,  2.46 
FREEHOLD ROYALTIES LTD,"  637,562 "," $ 1,878,026,458 ", $ 11.69 ,  -   ,  -   ,0.40%,  -   ,  -   
GALP ENERGIA SGPS SA,"  321,814 "," $ 15,059,101,521 ", $ 13.53 ,"  3,498,017 ","  50,343,318 ",0.03%,"  1,011.66 ","  14,559.82 "
GLENCORE PLC,"  591,559 "," $ 107,969,709,600 ", $ 552.40 ,"  27,037,000 ","  369,137,000 ",0.30%,"  81,829.20 ","  1,117,216.60 "
HALLIBURTON CO,"  1,055,877 "," $ 42,260,700,000 ", $ 39.35 ,"  3,727,034 ","  3,904,376 ",0.10%,"  3,664.25 ","  3,838.60 "
HESS CORP,"  230,264 "," $ 50,727,002,900 ", $ 141.82 ,"  2,666,933 ","  50,912,535 ",0.06%,"  1,716.87 ","  32,775.48 "
IMPERIAL OIL LTD,"  1,894,273 "," $ 28,938,255,338 ", $ 48.71 ,"  14,930,000 ","  14,930,000 ",0.32%,"  47,602.72 ","  47,602.72 "
INFRAESTRUCTURA ENERGETICA N,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
INTER PIPELINE LTD,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
ITOCHU CORP,"  4,769,936 "," $ 75,878,056,062 ", $ 31.63 ,"  2,263,692 ","  4,731,172 ",0.20%,"  4,501.20 ","  9,407.63 "
KEYERA CORP,"  1,288,486 "," $ 7,891,236,074 ", $ 21.85 ,"  1,733,232 ","  1,735,962 ",0.36%,"  6,184.77 ","  6,194.51 "
KINDER MORGAN INC,"  1,963,044 "," $ 73,340,083,800 ", $ 18.08 ,"  18,000,000 ","  18,000,000 ",0.05%,"  8,710.83 ","  8,710.83 "
MARATHON OIL CORP,"  1,427,411 "," $ 22,880,310,000 ", $ 27.07 ,"  3,360,000 ","  45,410,000 ",0.17%,"  5,674.33 ","  76,687.91 "
MARATHON PETROLEUM CORP,"  636,670 "," $ 76,352,060,000 ", $ 116.39 ,"  40,400,000 ","  506,400,000 ",0.10%,"  39,209.44 ","  491,476.77 "
MEG ENERGY CORP,"  3,522,607 "," $ 5,258,470,523 ", $ 13.92 ,"  2,368,463 ","  2,384,503 ",0.93%,"  22,088.68 ","  22,238.27 "
NRG ENERGY INC,"  199,303 "," $ 15,176,632,000 ", $ 31.82 ,"  37,559,433 ","  37,561,865 ",0.04%,"  15,694.87 ","  15,695.88 "
NUVISTA ENERGY LTD,"  838,926 "," $ 2,236,125,334 ", $ 9.22 ,"  384,381 ","  755,312 ",0.35%,"  1,329.20 ","  2,611.89 "
OBSIDIAN ENERGY LTD,"  94,918 "," $ 717,018,885 ", $ 6.63 ,"  395,426 ","  395,426 ",0.09%,  347.17 ,  347.17 
OCCIDENTAL PETROLEUM CORP,"  931,845 "," $ 86,606,114,900 ", $ 62.99 ,"  22,500,000 ","  239,500,000 ",0.07%,"  15,249.28 ","  162,320.08 "
OGE ENERGY CORP,  -   ," $ 12,413,210,000 ", $ 39.55 ,"  10,125,700 ","  18,749,700 ",0.00%,  -   ,  -   
ONEOK INC,"  430,638 "," $ 42,881,524,600 ", $ 65.70 ,"  6,600,000 ","  70,900,000 ",0.07%,"  4,354.63 ","  46,779.30 "
OVINTIV INC,"  715,790 "," $ 16,947,447,000 ", $ 50.71 ,"  3,738,714 ","  3,738,714 ",0.21%,"  8,007.50 ","  8,007.50 "
PAMPA ENERGIA SA-SPON ADR,  -   ," $ 762,848,269,900 ", $ 31.94 ,"  7,809,890 ","  7,809,890 ",0.00%,  -   ,  -   
PARAMOUNT RESOURCES LTD -A,"  462,384 "," $ 3,132,817,520 ", $ 21.15 ,"  560,451 ","  560,451 ",0.31%,"  1,749.71 ","  1,749.71 "
PARKLAND CORP,"  794,948 "," $ 8,516,333,237 ", $ 21.94 ,"  616,420 ","  616,420 ",0.20%,"  1,262.56 ","  1,262.56 "
PEYTO EXPLORATION & DEV CORP,"  1,514,129 "," $ 2,406,710,113 ", $ 10.24 ,"  713,781 ","  713,781 ",0.64%,"  4,600.10 ","  4,600.10 "
PEMBINA PIPELINE CORP,"  12,039,755 "," $ 28,162,846,184 ", $ 33.94 ,"  4,139,710 ","  5,873,170 ",1.45%,"  60,072.82 ","  85,227.68 "
PETROBRAS - PETROLEO BRAS-PR,"  247,451 "," $ 101,761,754,548 ", $ 4.64 ,"  47,902,355 ","  491,186,355 ",0.00%,  540.07 ,"  5,537.85 "
P G & E CORP,"  1,251,731 "," $ 85,165,383,300 ", $ 16.26 ,"  4,049,399 ","  45,554,598 ",0.02%,  967.74 ,"  10,886.81 "
PHILLIPS 66,"  492,550 "," $ 65,181,041,200 ", $ 104.08 ,"  31,200,000 ","  385,200,000 ",0.08%,"  24,538.66 ","  302,958.12 "
PIONEER NATURAL RESOURCES CO,"  439,011 "," $ 58,662,262,000 ", $ 228.39 ,"  3,350,144 ","  165,350,144 ",0.17%,"  5,726.08 ","  282,616.98 "
PLAINS ALL AMER PIPELINE LP,  -   ," $ 18,928,648,900 ", $ 11.76 ,"  1,984,000 ","  1,984,000 ",0.00%,  -   ,  -   
PUBLIC SERVICE ENTERPRISE GP,"  504,285 "," $ 50,425,190,000 ", $ 61.27 ,"  2,868,611 ","  2,868,611 ",0.06%,"  1,757.71 ","  1,757.71 "
RWE AG,"  440,872 "," $ 33,269,047,737 ", $ 44.64 ,"  85,500,000 ","  107,600,000 ",0.06%,"  50,573.19 ","  63,645.33 "
SASOL LTD,  -   ," $ 18,610,776,214 "," $ 2,185.74 ","  63,571,398 ","  101,128,398 ",0.00%,  -   ,  -   
SCHLUMBERGER LTD,"  1,714,783 "," $ 86,248,200,000 ", $ 53.46 ,"  1,884,000 ","  36,733,000 ",0.11%,"  2,002.48 ","  39,043.12 "
SECURE ENERGY SERVICES INC,"  1,596,069 "," $ 2,358,931,282 ", $ 5.19 ,"  238,196 ","  238,196 ",0.35%,  836.78 ,  836.78 
SEMPRA,"  937,194 "," $ 80,593,561,000 ", $ 77.27 ,"  7,428,409 ","  74,077,706 ",0.09%,"  6,674.76 ","  66,562.19 "
SHELL PLC,"  2,706,667 "," $ 241,953,060,700 "," $ 2,326.00 ","  59,000,000 ","  1,262,750,000 ",2.60%,"  1,535,201.65 ","  32,857,218.46 "
SOUTHERN CO/THE,"  913,148 "," $ 139,821,590,000 ", $ 71.41 ,"  85,111,461 ","  123,629,262 ",0.05%,"  39,693.01 ","  57,656.36 "
SOUTHWESTERN ENERGY CO,  282 ," $ 10,951,595,700 ", $ 5.85 ,"  1,287,610 ","  1,287,610 ",0.00%,  0.19 ,  0.19 
SUNCOR ENERGY INC,"  38,945,117 "," $ 52,499,482,930 ", $ 31.72 ,"  34,875,881 ","  177,875,881 ",2.35%,"  820,678.96 ","  4,185,671.86 "
TAMARACK VALLEY ENERGY LTD,"  2,386,898 "," $ 2,723,648,190 ", $ 3.29 ,"  534,280 ","  534,280 ",0.29%,"  1,542.32 ","  1,542.32 "
TARGA RESOURCES CORP,"  210,135 "," $ 30,291,003,800 ", $ 73.50 ,"  11,700,000 ","  44,300,000 ",0.05%,"  5,965.65 ","  22,587.90 "
TC ENERGY CORP,"  36,048,940 "," $ 85,443,971,898 ", $ 39.87 ,"  23,246,029 ","  26,764,869 ",1.68%,"  391,002.64 ","  450,190.19 "
TECK RESOURCES LTD-CLS B,"  6,447,499 "," $ 24,523,739,981 ", $ 37.83 ,"  2,932,000 ","  72,355,000 ",0.99%,"  29,160.51 ","  719,614.10 "
TOTALENERGIES SE,"  1,950,882 "," $ 173,138,722,900 ", $ 58.65 ,"  39,360,000 ","  488,360,000 ",0.07%,"  26,011.17 ","  322,734.13 "
TOURMALINE OIL CORP,"  4,645,481 "," $ 17,554,291,766 ", $ 50.46 ,"  3,012,770 ","  3,012,770 ",1.34%,"  40,229.83 ","  40,229.83 "
TRANSALTA CORP,"  6,728,678 "," $ 5,629,179,237 ", $ 8.94 ,"  10,247,622 ","  13,871,592 ",1.07%,"  109,556.68 ","  148,300.32 "
VALERO ENERGY CORP,"  381,060 "," $ 56,975,238,600 ", $ 126.86 ,"  32,328,000 ","  32,328,000 ",0.08%,"  27,429.05 ","  27,429.05 "
VERMILION ENERGY INC,"  1,371,520 "," $ 3,716,128,766 ", $ 17.70 ,"  824,207 ","  12,506,707 ",0.65%,"  5,385.21 ","  81,716.43 "
VISTA ENERGY SAB DE CV,  -   ," $ 89,076,178 ", $ 15.86 ,  -   ,  -   ,0.00%,  -   ,  -   
VISTRA CORP,"  132,114 "," $ 23,207,313,000 ", $ 23.20 ,"  95,005,240 ","  97,366,670 ",0.01%,"  12,547.57 ","  12,859.45 "
WEC ENERGY GROUP INC,"  705,354 "," $ 47,109,841,600 ", $ 93.76 ,"  19,102,000 ","  19,102,000 ",0.14%,"  26,815.87 ","  26,815.87 "
WHITECAP RESOURCES INC,"  6,633,904 "," $ 6,212,073,047 ", $ 7.93 ,"  2,057,232 ","  2,057,232 ",0.85%,"  17,426.38 ","  17,426.38 "
WILLIAMS COS INC,"  1,232,820 "," $ 65,242,200,000 ", $ 32.90 ,"  13,871,330 ","  35,989,330 ",0.06%,"  8,623.53 ","  22,373.85 "
WOODSIDE ENERGY GROUP LTD,"  159,030 "," $ 32,190,679,522 ", $ 24.15 ,"  9,573,200 ","  93,398,200 ",0.01%,"  1,141.94 ","  11,141.04 "
XCEL ENERGY INC,"  495,140 "," $ 64,451,914,800 ", $ 70.11 ,"  38,700,000 ","  62,960,000 ",0.05%,"  20,844.10 ","  33,910.71 "
,,,,,,,,
,,,,"  1,982,995,790 ","  10,055,113,056 ",,"  6,334,376.87 ","  65,057,664.74 "
,,,,,,,,
,,,,,,,"  6,334,377.00 ","  65,057,665.00 "
,,,,,,,,
,,,,,,Difference,  0.13 ,  0.26 
