"Manager","Report Date","Value ($000)","Shares","Option Type"
"JANE STREET GROUP, LLC","12/31/2021","1,282","11,000","put"
"Grove Bank & Trust","12/31/2021","1,269","10,892",""
"OPPENHEIMER & CO INC","12/31/2021","1,256","10,777",""
"ADVISOR GROUP HOLDINGS, INC.","12/31/2021","1,207","10,351",""
"Candriam Luxembourg S.C.A.","12/31/2021","1,202","10,298",""
"MITCHELL CAPITAL MANAGEMENT CO","12/31/2021","1,124","9,644",""
"TWO SIGMA INVESTMENTS, LP","12/31/2021","1,084","9,300","call"
"M&T Bank Corp","12/31/2021","1,063","9,128",""
"Credential Qtrade Securities Inc.","12/31/2021","1,040","8,926",""
"SHELL ASSET MANAGEMENT CO","12/31/2021","1,025","8,778",""
"BANK OF HAWAII","12/31/2021","969","8,311",""
"WOLVERINE TRADING, LLC","12/31/2021","960","8,300","call"
"Cubist Systematic Strategies, LLC","12/31/2021","963","8,266",""
"FIRST REPUBLIC INVESTMENT MANAGEMENT, INC.","12/31/2021","963","8,262",""
"Cetera Investment Advisers","12/31/2021","952","8,163",""
"Keudell/Morrison Wealth Management","12/31/2021","947","8,122",""
"Summit Global Investments","12/31/2021","932","7,993",""
"Veritable, L.P.","12/31/2021","910","7,804",""
"Brinker Capital Investments, LLC","12/31/2021","900","7,720",""
"Raymond James Financial Services Advisors, Inc.","12/31/2021","897","7,687",""
"Kestra Advisory Services, LLC","12/31/2021","892","7,655",""
"Tacita Capital Inc","12/31/2021","888","7,624",""
"ADVISOR PARTNERS LLC","12/31/2021","855","7,335",""
"RAYMOND JAMES TRUST N.A.","12/31/2021","844","7,238",""
"COMMONWEALTH EQUITY SERVICES, LLC","12/31/2021","12,485","7,213",""
"Hilltop Holdings Inc.","12/31/2021","823","7,060",""
"EXANE DERIVATIVES","12/31/2021","810","6,986",""
"YOUSIF CAPITAL MANAGEMENT, LLC","12/31/2021","809","6,938",""
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","12/31/2021","783","6,759",""
"CIGNA INVESTMENTS INC /NEW","12/31/2021","781","6,687",""
"Crestwood Advisors Group LLC","12/31/2021","760","6,523",""
"Laurel Wealth Advisors, Inc.","12/31/2021","758","6,503",""
"WETHERBY ASSET MANAGEMENT INC","12/31/2021","753","6,459",""
"Aull & Monroe Investment Management Corp","12/31/2021","734","6,300",""
"SIGNATUREFD, LLC","12/31/2021","729","6,252",""
"Advisors Asset Management, Inc.","12/31/2021","720","6,175",""
"Verdence Capital Advisors LLC","12/31/2021","707","6,069",""
"JANE STREET GROUP, LLC","12/31/2021","699","6,000","call"
"Vident Investment Advisory, LLC","12/31/2021","694","5,945",""
"VAUGHAN & Co SECURITIES, INC.","12/31/2021","689","5,907",""
"MERCER GLOBAL ADVISORS INC /ADV","12/31/2021","687","5,889",""
"Creative Planning","12/31/2021","664","5,696",""
"BLAIR WILLIAM & CO/IL","12/31/2021","639","5,484",""
"Cambridge Investment Research Advisors, Inc.","12/31/2021","623","5,343",""
"VAN ECK ASSOCIATES CORP","12/31/2021","618","5,298",""
"Balyasny Asset Management LLC","12/31/2021","612","5,253",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2021","606","5,200",""
"FDx Advisors, Inc.","12/31/2021","602","5,164",""
"Berger Financial Group, Inc","12/31/2021","579","4,968",""
"Cutler Group LP","12/31/2021","21","4,900","call"
"Archetype Wealth Partners","12/31/2021","569","4,883",""
"INTRUST BANK NA","12/31/2021","547","4,689",""
"Wealth Alliance","12/31/2021","545","4,678",""
"Chesley Taft & Associates LLC","12/31/2021","541","4,639",""
"Gradient Investments LLC","12/31/2021","537","4,607",""
"REUTER JAMES WEALTH MANAGEMENT, LLC","12/31/2021","537","4,605",""
"Gulf International Bank (UK) Ltd","12/31/2021","536","4,600",""
"AVANTAX ADVISORY SERVICES, INC.","12/31/2021","525","4,502",""
"Argent Trust Co","12/31/2021","522","4,473",""
"BARTLETT & CO. WEALTH MANAGEMENT LLC","12/31/2021","524","4,448",""
"Bartlett & Co. LLC","12/31/2021","524","4,448",""
"Cetera Advisors LLC","12/31/2021","513","4,400",""
"ING GROEP NV","12/31/2021","506","4,340",""
"Cerity Partners LLC","12/31/2021","500","4,269",""
"Hennion & Walsh Asset Management, Inc.","12/31/2021","494","4,241",""
"Hendershot Investments Inc.","12/31/2021","471","4,041",""
"Magnetar Financial LLC","12/31/2021","468","4,011",""
"Graves-Light Private Wealth Management, Inc.","12/31/2021","466","4,000",""
"Procyon Private Wealth Partners, LLC","12/31/2021","465","3,992",""
"AIGEN INVESTMENT MANAGEMENT, LP","12/31/2021","449","3,959",""
"Polar Asset Management Partners Inc.","12/31/2021","454","3,889",""
"Geneos Wealth Management Inc.","12/31/2021","450","3,869",""
"TOWER BRIDGE ADVISORS","12/31/2021","443","3,807",""
"EUDAIMONIA ADVISORS LLC","12/31/2021","441","3,780",""
"Veriti Management LLC","12/31/2021","438","3,755",""
"Private Advisor Group, LLC","12/31/2021","437","3,749",""
"JustInvest LLC","12/31/2021","433","3,717",""
"WRAPMANAGER INC","12/31/2021","408","3,503",""
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main","12/31/2021","407","3,500",""
"Avidian Wealth Solutions, LLC","12/31/2021","405","3,478",""
"Pacer Advisors, Inc.","12/31/2021","402","3,448",""
"PINNACLE FINANCIAL PARTNERS INC","12/31/2021","396","3,401",""
"Cumberland Partners Ltd","12/31/2021","385","3,304",""
"WOLVERINE TRADING, LLC","12/31/2021","382","3,303",""
"GLENMEDE TRUST CO NA","12/31/2021","380","3,267",""
"Vontobel Holding Ltd.","12/31/2021","369","3,164",""
"Lombard Odier Asset Management (Switzerland) SA","12/31/2021","463","3,141",""
"PEAK6 Investments LLC","12/31/2021","361","3,100","put"
"PARK AVENUE SECURITIES LLC","12/31/2021","357","3,059",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2021","356","3,019",""
"Quantinno Capital Management LP","12/31/2021","350","3,006",""
"US BANCORP \DE\","12/31/2021","350","2,995",""
"FIFTH THIRD BANCORP","12/31/2021","347","2,974",""
"NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO","12/31/2021","334","2,862",""
"TRUST CO OF TOLEDO NA /OH/","12/31/2021","325","2,790",""
"Americana Partners, LLC","12/31/2021","323","2,779",""
"Forum Financial Management, LP","12/31/2021","291","2,498",""
"Cetera Advisor Networks LLC","12/31/2021","286","2,450",""
"BNP PARIBAS ASSET MANAGEMENT Holding S.A.","12/31/2021","286","2,450",""
"EVERGREEN CAPITAL MANAGEMENT LLC","12/31/2021","283","2,431",""
"QUADRANT CAPITAL GROUP LLC","12/31/2021","282","2,423",""
"Walled Lake Planning & Wealth Management, LLC","12/31/2021","281","2,413",""
"Baskin Financial Services Inc.","12/31/2021","278","2,388",""
"Lantz Financial LLC","12/31/2021","272","2,331",""
"RENASANT BANK","12/31/2021","271","2,324",""
"Texas Yale Capital Corp.","12/31/2021","269","2,310",""
"BUCKINGHAM STRATEGIC WEALTH, LLC","12/31/2021","264","2,261",""
"Manitou Investment Management Ltd.","12/31/2021","262","2,252",""
"Tudor Investment Corp Et Al","12/31/2021","252","2,164",""
"COZAD ASSET MANAGEMENT INC","12/31/2021","252","2,158",""
"West Family Investments, Inc.","12/31/2021","249","2,135",""
"Checchi Capital Advisers, LLC","12/31/2021","240","2,060",""
"Coastal Investment Advisors, Inc.","12/31/2021","238","2,045",""
"Integrated Advisors Network LLC","12/31/2021","235","2,018",""
"Diligent Investors, LLC","12/31/2021","233","2,003",""
"Corient Capital Partners, LLC","12/31/2021","233","2,000",""
"Icon Wealth Partners, LLC","12/31/2021","228","1,952",""
"Petrus Trust Company, LTA","12/31/2021","225","1,934",""
"Cadence Bank","12/31/2021","220","1,885",""
"PATHSTONE FAMILY OFFICE, LLC","12/31/2021","228","1,878",""
"JJJ Advisors Inc.","12/31/2021","210","1,799",""
"Vestmark Advisory Solutions, Inc.","12/31/2021","205","1,758",""
"MACQUARIE GROUP LTD","12/31/2021","204","1,747",""
"Lido Advisors, LLC","12/31/2021","203","1,747",""
"First National Bank of Hutchinson","12/31/2021","202","1,735",""
"Rockefeller Capital Management L.P.","12/31/2021","182","1,568",""
"Parallel Advisors, LLC","12/31/2021","177","1,520",""
"QV Investors Inc.","12/31/2021","156","1,340",""
"BESSEMER GROUP INC","12/31/2021","154","1,326",""
"JCIC Asset Management Inc.","12/31/2021","155","1,325",""
"American Research & Management Co.","12/31/2021","154","1,319",""
"CLEAR STREET MARKETS LLC","12/31/2021","152","1,300","put"
"UMB BANK N A/MO","12/31/2021","151","1,295",""
"McIlrath & Eck, LLC","12/31/2021","132","1,130",""
"CREDIT AGRICOLE S A","12/31/2021","131","1,127",""
"ATLAS CAPITAL ADVISORS LLC","12/31/2021","120","1,035",""
"Aspire Private Capital, LLC","12/31/2021","120","1,029",""
"Compagnie Lombard Odier SCmA","12/31/2021","119","1,020",""
"OPTIMUM INVESTMENT ADVISORS","12/31/2021","117","1,002",""
"Allworth Financial LP","12/31/2021","117","1,000",""
"Plante Moran Financial Advisors, LLC","12/31/2021","112","964",""
"Lloyd Advisory Services, LLC.","12/31/2021","112","961",""
"Beutel, Goodman & Co Ltd.","12/31/2021","90","775",""
"Tower Research Capital LLC (TRC)","12/31/2021","90","774",""
"US BANCORP \DE\","12/31/2021","90","774",""
"Elmwood Wealth Management, Inc.","12/31/2021","81","697",""
"American Portfolios Advisors","12/31/2021","79","678",""
"Clearstead Advisors, LLC","12/31/2021","78","666",""
"Patriot Financial Group Insurance Agency, LLC","12/31/2021","76","650",""
"GPS Wealth Strategies Group, LLC","12/31/2021","75","645",""
"BDO Wealth Advisors, LLC","12/31/2021","75","640",""
"IFP Advisors, Inc","12/31/2021","68","577",""
"Cutler Group LP","12/31/2021","63","547",""
"HOWE & RUSLING INC","12/31/2021","62","535",""
"BELLEVUE ASSET MANAGEMENT, LLC","12/31/2021","51","435",""
"BROWN BROTHERS HARRIMAN & CO","12/31/2021","48","416",""
"AdvisorNet Financial, Inc","12/31/2021","47","400",""
"Tower View Investment Management & Research LLC","12/31/2021","47","400",""
"CWM, LLC","12/31/2021","46","396",""
"Lindbrook Capital, LLC","12/31/2021","46","395",""
"HUNTINGTON NATIONAL BANK","12/31/2021","43","372",""
"First Horizon Advisors, Inc.","12/31/2021","39","339",""
"Spire Wealth Management","12/31/2021","38","325",""
"Cutler Group LP","12/31/2021","0","300","put"
"Pacifica Partners Inc.","12/31/2021","32","255",""
"NEXT Financial Group, Inc","12/31/2021","29","246",""
"Capital Analysts, LLC","12/31/2021","28","244",""
"Newbridge Financial Services Group, Inc.","12/31/2021","27","230",""
"Banque Cantonale Vaudoise","12/31/2021","26","222",""
"EXCHANGE TRADED CONCEPTS, LLC","12/31/2021","25","216",""
"Fieldpoint Private Securities, LLC","12/31/2021","25","213",""
"CONCOURSE FINANCIAL GROUP SECURITIES, INC.","12/31/2021","24","200",""
"North Star Investment Management Corp.","12/31/2021","23","200",""
"Bellwether Advisors, LLC","12/31/2021","22","189",""
"Glassman Wealth Services","12/31/2021","22","189",""
"Ancora Advisors, LLC","12/31/2021","21","179",""
"Intelligent Financial Strategies","12/31/2021","19","167",""
"Steward Partners Investment Advisory, LLC","12/31/2021","18","153",""
"Outfitter Financial LLC","12/31/2021","17","150",""
"Asset Dedication, LLC","12/31/2021","18","147",""
"Independence Bank of Kentucky","12/31/2021","17","145",""
"Citizens National Bank Trust Department","12/31/2021","16","135",""
"HM PAYSON & CO","12/31/2021","15","130",""
"Financial Gravity Asset Management, Inc.","12/31/2021","40","117",""
"Manchester Capital Management LLC","12/31/2021","13","115",""
"Laurel Wealth Planning LLC","12/31/2021","12","107",""
"REILLY FINANCIAL ADVISORS, LLC","12/31/2021","12","100",""
"Stonebridge Capital Advisors LLC","12/31/2021","12","100",""
"KRS CAPITAL MANAGEMENT, LLC","12/31/2021","11","100",""
"RITTER DANIHER FINANCIAL ADVISORY, LLC","12/31/2021","12","100",""
"ASSETMARK, INC","12/31/2021","11","96",""
"FIRST MANHATTAN CO","12/31/2021","10","90",""
"Vigilant Capital Management, LLC","12/31/2021","10","88",""
"Crescent Capital Consulting, LLC","12/31/2021","10","87",""
"Optiver Holding B.V.","12/31/2021","9","77",""
"Bell Investment Advisors, Inc","12/31/2021","9","76",""
"Daiwa Securities Group Inc.","12/31/2021","9","75",""
"VALLEY NATIONAL ADVISERS INC","12/31/2021","9","73",""
"Glen Eagle Advisors, LLC","12/31/2021","8","71",""
"Carroll Investors, Inc","12/31/2021","7","65",""
"EARNEST PARTNERS LLC","12/31/2021","7","61",""
"MASSMUTUAL TRUST CO FSB/ADV","12/31/2021","7","58",""
"Roble, Belko & Company, Inc","12/31/2021","7","57",""
"WEST PACES ADVISORS INC.","12/31/2021","6","52",""
"JNBA Financial Advisors","12/31/2021","6","51",""
"JFS WEALTH ADVISORS, LLC","12/31/2021","5","47",""
"Snowden Capital Advisors LLC","12/31/2021","5","44",""
"CAMBRIDGE TRUST CO","12/31/2021","5","43",""
"Mascoma Wealth Management LLC","12/31/2021","5","40",""
"Private Capital Group, LLC","12/31/2021","4","37",""
"Gemmer Asset Management LLC","12/31/2021","4","33",""
"Versant Capital Management, Inc","12/31/2021","4","31",""
